model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
gpt-5.5,free-form,abc,Between Circuits and Breath,D,minor,1.472,D,minor,minor,1,0.9742,2.791,4.24,,0.6048,0.8468,1.452,0.9565,2.8972,3,1,1.04,92.1,25,0.0,0.9998,12.46,1.0081,0.8201,26.0,38.0,72.0,310,106.7,2.42,-1,0.362,sad/depressed
grok-4.3,free-form,abc,Algorithmic Solitude,D,minor,1.196,A,minor,minor,1,1.0,2.751,3.9427,,0.5778,0.8723,2.419,0.9759,1.9209,2,1,1.04,96.9,25,0.0226,0.9991,18.846,1.3542,1.4798,18.0,41.0,120.0,136,66.0,1.03,-1,0.485,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,B-,major,0.715,C,major,major,1,1.0,2.6022,2.9528,,0.6667,0.7647,1.0,1.0,2.4889,2,1,1.04,92.2,25,0.0,0.9967,6.778,0.6516,1.2788,9.0,14.0,120.0,44,16.0,1.38,1,0.519,happy/excited
gemini-2.5-pro,free-form,abc,Process and Flow,A,minor,0.915,A,minor,minor,1,0.9947,2.8148,4.5211,,0.4808,0.7207,1.833,0.9212,2.1235,2,1,1.04,91.7,25,0.0099,0.9984,12.172,0.6194,2.0672,30.0,48.0,90.0,170,66.7,1.7,-1,0.388,sad/depressed
qwen3-max,free-form,abc,Whispers in the Neural Grove,C,major,1.326,C,major,major,1,0.9062,3.0996,4.8249,,0.9125,0.6396,2.667,1.0,2.7039,2,1,1.04,85.5,25,0.1373,0.9941,14.855,0.374,0.6701,34.0,48.0,92.0,160,33.9,3.08,1,0.537,happy/excited
gpt-4.1,free-form,abc,Dawn of Quiet Resolve,G,minor,1.002,G,minor,minor,1,1.0,2.684,4.1312,,0.8806,0.7842,1.591,0.9489,1.9155,2,1,1.04,92.3,25,0.0737,0.9989,18.046,1.2958,0.9165,21.0,34.0,120.0,132,48.0,1.38,-1,0.519,angry/tense
gemini-2.5-pro,free-form,abc,Digital Reverie,C,minor,1.296,C,minor,minor,1,0.9027,2.8306,4.417,,0.3575,0.7863,2.25,0.9665,3.4783,4,1,1.04,85.7,30,0.0,0.999,16.363,0.4022,1.6577,40.0,60.0,80.0,336,99.0,2.55,-1,0.418,sad/depressed
gpt-5.5,free-form,abc,"Quiet Circuit, Open Sky",D,minor,1.118,D,minor,minor,1,1.0,2.7354,4.167,,0.7113,0.8274,2.087,0.9615,1.9683,2,1,1.04,90.6,25,0.0,0.9993,19.184,0.9485,0.7161,21.0,39.0,72.0,175,80.0,1.82,-1,0.302,sad/depressed
gpt-5.5,free-form,abc,Between Current and Breath,D,minor,1.5,D,minor,minor,1,0.9753,2.7971,4.3634,,0.588,0.8487,1.968,0.9602,2.7909,3,1,1.04,87.8,25,0.0,0.9999,13.076,0.5,0.9031,28.0,45.0,72.0,486,106.7,3.8,-1,0.5,angry/tense
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.386,C,major,major,1,1.0,2.1805,2.7203,,0.2,0.8426,1.143,0.9973,3.0527,2,1,1.04,92.2,25,0.0,0.9964,7.043,0.4669,1.3599,9.0,19.0,120.0,52,18.0,1.44,1,0.526,happy/excited
grok-4.3,free-form,abc,Algorithmic Dreams,A,minor,0.89,A,minor,minor,1,1.0,2.6328,3.8539,,0.5882,0.6765,1.143,1.0,1.9993,2,1,1.04,90.0,25,0.0,0.999,15.509,0.8485,1.1932,17.0,32.0,100.0,58,19.2,1.81,-1,0.454,sad/depressed
gpt-4.1,free-form,abc,Within and Beyond,D,minor,1.296,D,minor,minor,1,1.0,2.6725,3.834,,0.6506,0.7676,2.4,0.9464,1.807,2,1,1.04,91.2,25,0.0,0.9972,9.182,0.7576,1.2466,18.0,31.0,120.0,155,39.0,1.99,-1,0.581,angry/tense
gemini-2.5-pro,free-form,abc,Digital Contemplation,C,minor,1.219,C,minor,minor,1,0.9867,2.8133,4.0114,,0.32,0.8385,1.391,0.9811,3.8402,2,1,1.04,97.8,25,0.0,0.9985,17.832,0.708,1.338,18.0,43.0,60.0,94,96.0,0.98,-1,0.152,sad/depressed
qwen3-max,free-form,abc,Whispers in the Code,G,minor,1.065,G,minor,minor,1,1.0,2.765,4.2462,,0.6618,0.7133,1.8,0.9255,1.9052,2,1,1.04,90.6,25,0.0602,0.9992,12.058,1.0822,0.5417,22.0,36.0,120.0,140,42.0,1.67,-1,0.548,angry/tense
gemini-2.5-pro,free-form,abc,Cognition in C minor,C,minor,0.932,C,minor,minor,1,0.996,2.7568,4.0959,,0.4636,0.8278,1.565,0.9295,3.1543,2,1,1.04,91.7,25,0.0,0.9974,12.219,0.4518,1.7337,24.0,41.0,72.0,196,83.3,1.96,-1,0.316,sad/depressed
grok-4.3,free-form,abc,Pattern Weaver,C,major,0.936,C,major,major,1,0.9444,2.9475,4.5511,,0.6711,0.7434,2.13,0.967,1.9994,2,1,1.04,94.2,25,0.0,0.9994,17.904,1.2267,1.0827,30.0,43.0,120.0,126,48.0,1.31,1,0.513,happy/excited
deepseek-v4-pro,free-form,abc,Whispers of a Digital Dawn,E,minor,0.963,E,minor,minor,1,1.0,2.7644,4.5275,,0.329,0.6284,1.444,0.9575,3.1551,3,2,1.98,88.8,25,0.0,0.9954,12.764,0.2938,1.5039,28.0,48.0,120.0,293,33.2,4.41,-1,0.782,angry/tense
llama-4-maverick,free-form,abc,Echoes in the Attic,B-,major,0.715,C,major,major,1,1.0,2.6022,2.9528,,0.6667,0.7647,1.0,1.0,2.4889,2,1,1.04,92.2,25,0.0,0.9967,6.778,0.6516,1.2788,9.0,14.0,120.0,44,16.0,1.38,1,0.519,happy/excited
qwen3-max,free-form,abc,Digital Soliloquy,C,major,1.231,C,major,major,1,1.0,2.7595,3.4597,,0.5217,0.6667,1.667,0.8639,1.4782,2,2,3.2,87.7,25,0.0392,0.9995,5.642,0.662,0.996,12.0,19.0,120.0,96,26.0,1.85,1,0.566,happy/excited
gpt-4.1,free-form,abc,Beneath Quiet Stars,E,minor,1.313,E,minor,minor,1,1.0,2.3895,3.5227,,0.7209,0.9043,2.0,0.9517,1.8703,2,1,1.04,91.0,25,0.0154,0.9994,9.908,1.2245,1.2575,14.0,26.0,120.0,81,32.0,1.27,-1,0.508,angry/tense
deepseek-v4-pro,free-form,abc,Whispers of the Ethereal Garden,C,major,1.072,C,major,major,1,1.0,2.7735,4.4861,,0.6082,0.8796,1.622,0.9823,1.7079,2,1,1.04,71.3,45,0.0,0.9997,15.432,1.2632,1.2438,25.0,45.0,80.0,168,114.0,1.11,1,0.274,serene/content
gpt-5.5,free-form,abc,Circuits Remember Rain,D,minor,1.332,D,minor,minor,1,0.9827,2.7759,4.2927,,0.7207,0.8604,2.129,0.9319,1.9992,2,1,1.04,94.5,25,0.0,0.9995,15.035,1.1273,1.0468,24.0,39.0,68.0,173,112.9,1.35,-1,0.233,sad/depressed
grok-4.3,free-form,abc,Structured Improvisation,C,major,1.153,C,major,major,1,1.0,2.7891,4.6005,,0.6429,0.7679,2.4,1.0,1.9992,2,1,1.04,94.5,25,0.0,0.9995,19.165,1.1273,1.0513,26.0,47.0,120.0,86,32.0,1.34,1,0.516,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.384,C,major,major,1,1.0,2.1683,2.4328,,0.375,0.8519,0.0,1.0,3.2198,2,1,1.04,91.0,25,0.0,0.9964,6.747,0.4136,1.0637,8.0,14.0,120.0,52,16.0,1.62,1,0.544,happy/excited
gemini-2.5-pro,free-form,abc,Woven Threads,C,major,1.302,C,major,major,1,1.0,2.6951,4.6122,,0.5645,0.8,1.619,0.9784,1.8774,2,1,1.04,86.3,25,0.0,0.9994,22.151,0.4758,0.4794,33.0,57.0,120.0,270,46.0,2.93,1,0.675,happy/excited
gpt-4.1,free-form,abc,Whispers in the Machine,E,minor,1.11,E,minor,minor,1,0.9868,2.8169,4.5546,,0.7033,0.8543,1.935,1.0,3.144,6,2,2.86,80.8,20,0.0,0.9972,10.02,0.752,0.56,29.0,47.0,120.0,504,48.0,5.25,-1,0.782,angry/tense
qwen3-max,free-form,abc,Whispers in the Code,C,major,1.161,C,major,major,1,1.0,2.7275,4.4693,,0.791,0.7147,3.125,0.9495,2.7717,4,1,1.04,84.7,30,0.0,0.9986,19.028,0.6102,0.5988,28.0,48.0,120.0,304,38.0,4.0,1,0.782,happy/excited
gpt-5.5,free-form,abc,Thread of Light in a Quiet Machine,D,minor,1.334,D,minor,minor,1,0.993,2.7661,4.1825,,0.6126,0.7485,1.903,0.9543,2.9105,3,1,1.04,92.4,25,0.0,0.9993,12.646,1.0973,0.96,24.0,41.0,72.0,286,106.7,2.23,-1,0.343,sad/depressed
grok-4.3,free-form,abc,Emergent Patterns,C,major,1.468,C,major,major,1,1.0,2.7408,4.2127,,0.5122,0.8471,2.481,0.9614,1.8565,2,2,2.86,93.8,25,0.0,0.9994,18.906,1.2414,1.3618,22.0,41.0,120.0,139,56.0,1.24,1,0.506,happy/excited
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.276,C,major,major,1,1.0,2.6472,4.5295,,0.942,0.8105,1.25,0.9594,2.7179,4,1,1.04,84.1,30,0.0,0.9988,17.931,0.6,0.3973,29.0,48.0,92.0,159,26.1,3.98,1,0.627,happy/excited
gpt-5.5,free-form,abc,Quiet Circuitry Under Stars,D,minor,1.302,D,minor,minor,1,0.9906,2.7274,4.0384,,0.584,0.8557,1.677,0.9577,2.7505,3,1,1.04,88.7,25,0.0,0.9999,7.48,0.5,1.1552,26.0,43.0,72.0,424,106.7,3.31,-1,0.451,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.419,C,major,major,1,1.0,2.555,2.9056,,0.5,0.7778,1.0,1.0,2.9863,2,1,1.04,92.2,25,0.0,0.9964,6.746,0.6516,1.3303,9.0,14.0,120.0,44,16.0,1.38,1,0.519,happy/excited
gpt-4.1,free-form,abc,Twilight Whispers,D,minor,1.066,D,minor,minor,1,1.0,2.6111,3.9684,,0.6942,0.8065,1.613,0.9879,1.9666,2,1,1.04,87.9,25,0.0,0.9979,13.355,0.6661,1.4885,22.0,43.0,120.0,449,96.0,2.34,-1,0.616,angry/tense
gemini-2.5-pro,free-form,abc,Silicon Dreams,E,minor,0.57,G,minor,minor,1,1.0,2.7385,4.6487,,0.4758,0.7681,2.4,0.9368,2.3986,3,1,1.04,89.6,25,0.0,0.9992,15.912,0.7105,1.3634,31.0,60.0,80.0,236,75.0,2.36,-1,0.4,sad/depressed
gpt-5.5,free-form,abc,Quiet Algorithm at Dawn,D,minor,1.518,D,minor,minor,1,0.9576,2.8619,4.2362,,0.7054,0.8075,1.774,0.9468,1.9448,2,1,1.04,90.6,25,0.0,0.9996,13.94,0.9545,0.7852,23.0,34.0,72.0,236,106.7,1.84,-1,0.304,sad/depressed
deepseek-v4-pro,free-form,abc,Whispers of the Evening,D,minor,1.118,D,minor,minor,1,0.956,2.9364,3.5524,,,0.9783,2.161,0.9571,1.0,1,1,1.04,83.2,50,0.0,0.9992,2.289,1.0,0.7553,15.0,21.0,72.0,92,80.0,0.96,-1,0.216,sad/depressed
grok-4.3,free-form,abc,Echoes of Infinity,C,major,1.16,C,major,major,1,1.0,2.7828,5.1399,,0.119,0.7882,2.5,0.9809,1.9782,2,1,1.04,97.4,10,0.0,0.9996,31.578,2.1429,0.7006,41.0,69.0,60.0,84,92.0,0.91,1,0.146,serene/content
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.343,C,major,major,1,1.0,2.326,2.9696,,0.7333,0.9403,0.75,0.9797,1.8177,2,1,1.04,90.5,25,0.0,0.9992,6.852,1.0,0.8611,11.0,21.0,120.0,67,18.0,1.86,1,0.568,happy/excited
qwen3-max,free-form,abc,Whispers in the Code,C,major,1.325,C,major,major,1,1.0,2.7811,4.7864,,0.6117,0.7241,2.588,0.9525,1.7344,2,1,1.04,87.5,25,0.0,0.9991,22.454,0.5556,0.897,38.0,80.0,120.0,184,36.0,2.56,1,0.637,happy/excited
gemini-2.5-pro,free-form,abc,Quiet Calculation,C,major,1.046,A,minor,minor,0,0.9951,2.7857,4.1824,,0.3947,0.7781,1.875,0.958,2.8675,3,1,1.04,93.0,25,0.0,0.9998,21.606,0.8288,1.1305,24.0,46.0,120.0,218,50.0,2.18,-1,0.6,angry/tense
gpt-4.1,free-form,abc,Shifting Lights,E,minor,1.401,E,minor,minor,1,0.9811,2.7895,3.0367,,0.4464,0.8345,2.25,0.97,1.6706,2,1,1.04,88.8,25,0.0,0.9998,3.449,1.0244,0.1526,12.0,24.0,120.0,159,43.5,1.83,-1,0.565,angry/tense
grok-4.3,free-form,abc,Logical Flow,C,major,1.102,C,major,major,1,1.0,2.7959,4.0703,,0.5625,0.8438,2.097,1.0,1.9992,2,1,1.04,93.9,25,0.0,0.9999,13.308,1.3263,1.1495,19.0,34.0,120.0,144,64.0,1.12,1,0.494,serene/content
gpt-5.5,free-form,abc,Lanterns in the Circuit,D,minor,1.448,D,minor,minor,1,0.9557,2.7708,4.3954,,0.4286,0.7857,2.097,0.949,4.7517,3,1,1.04,94.9,25,0.0,0.9994,13.494,0.5105,1.1213,29.0,48.0,84.0,286,91.4,2.23,-1,0.409,sad/depressed
gemini-2.5-pro,free-form,abc,Digital Reverie,C,minor,1.258,C,minor,minor,1,1.0,2.7002,3.9355,,0.5161,0.7182,1.31,0.968,1.7196,2,1,1.04,89.6,25,0.0,0.9993,13.477,0.7607,1.2196,20.0,36.0,72.0,241,106.7,1.88,-1,0.308,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.078,C,major,major,1,1.0,2.6314,3.2612,,0.303,0.6979,1.0,0.9616,2.8378,2,1,1.04,91.6,25,0.0,0.9968,5.507,0.5559,1.6175,11.0,19.0,120.0,52,18.0,1.44,1,0.526,happy/excited
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.32,C,major,major,1,1.0,2.7495,4.6825,,0.9643,0.631,1.667,0.9324,2.0,2,1,1.04,85.4,25,0.04,0.9988,18.862,0.5663,0.0,32.0,58.0,120.0,168,26.0,3.23,1,0.705,happy/excited
gpt-4.1,free-form,abc,Dawn of Inner Worlds,D,minor,0.903,A,minor,minor,1,0.9773,2.6576,4.0876,,0.8602,0.7879,2.0,0.9419,2.0522,3,1,1.04,90.6,25,0.04,0.9992,14.274,1.1446,0.8589,22.0,36.0,120.0,176,50.0,1.76,-1,0.558,angry/tense
gemini-2.5-pro,free-form,abc,Silicon Solitude,C,minor,1.084,C,minor,minor,1,0.995,2.7394,4.4124,,0.4634,0.8887,1.464,0.959,3.9854,2,1,1.04,94.6,25,0.0,0.9953,15.29,0.4661,1.5324,30.0,55.0,40.0,139,130.5,1.6,-1,0.16,sad/depressed
gpt-5.5,free-form,abc,Lantern Algorithm,D,minor,1.499,D,minor,minor,1,0.9725,2.7847,4.2508,,0.7153,0.8033,1.846,0.947,1.9234,2,1,1.04,90.4,25,0.0,0.9995,13.048,1.0065,0.5734,24.0,36.0,88.0,291,109.1,1.82,-1,0.389,sad/depressed
grok-4.3,free-form,abc,Digital Reverie,C,major,1.189,C,major,major,1,1.0,2.7822,4.1437,,0.7333,0.7835,2.474,1.0,1.3998,2,1,1.04,93.1,25,0.0,0.9996,8.354,1.1515,0.9416,19.0,31.0,120.0,83,40.0,1.04,1,0.486,serene/content
qwen3-max,free-form,abc,Whispers in the Code,G,minor,1.083,G,minor,minor,1,1.0,2.7784,4.5178,,0.3,0.881,2.688,0.9746,1.9091,2,1,1.04,89.8,25,0.0,0.9999,19.744,1.0,0.0,26.0,44.0,120.0,126,34.0,1.85,-1,0.567,angry/tense
deepseek-v4-pro,free-form,abc,Whispers of Dusk,C,minor,1.116,C,minor,minor,1,1.0,2.7869,4.2554,,0.4104,0.8086,2.227,0.9709,1.8097,2,1,1.04,61.8,85,0.0,0.9986,13.513,0.9167,1.451,23.0,38.0,80.0,263,135.0,1.46,-1,0.31,sad/depressed
llama-4-maverick,free-form,abc,Ephemeral Reflections,C,major,1.469,C,major,major,1,1.0,2.7472,3.0992,,0.6071,0.701,1.429,0.86,3.412,2,1,1.04,91.7,25,0.0323,0.9976,5.673,0.3789,0.9919,10.0,16.0,120.0,52,16.0,1.62,1,0.544,happy/excited
deepseek-v4-pro,free-form,abc,Silicon Reverie,C,major,1.05,C,major,major,1,1.0,2.7252,4.2701,,0.4211,0.8351,0.667,0.9889,2.6961,3,2,4.69,95.9,25,0.0,0.9992,18.639,1.2632,1.3966,23.0,50.0,72.0,242,143.3,1.41,1,0.261,serene/content
gpt-4.1,free-form,abc,Breezes of Thought,D,minor,1.538,D,minor,minor,1,1.0,2.5785,4.0761,,0.3774,0.8014,1.8,0.9529,2.3762,3,1,1.04,89.9,25,0.0,0.9997,15.44,0.9643,0.695,21.0,36.0,120.0,126,28.5,2.21,-1,0.603,angry/tense
grok-4.3,free-form,abc,Introspective Circuits,C,major,1.071,C,major,major,1,1.0,2.5759,3.7802,,0.6296,0.8727,0.5,0.9419,1.9402,2,1,1.04,95.3,25,0.0,0.9992,12.27,1.1538,1.0614,15.0,38.0,50.0,40,43.2,1.11,1,0.111,serene/content
gpt-5.5,free-form,abc,Between Signal and Silence,D,minor,1.512,D,minor,minor,1,0.9665,2.8698,4.4231,,0.6829,0.8088,1.871,0.9464,1.9598,2,1,1.04,90.3,25,0.0,0.9997,15.655,0.9764,0.4354,26.0,38.0,72.0,239,106.7,1.87,-1,0.307,sad/depressed
qwen3-max,free-form,abc,Whispers in the Code,C,major,1.243,C,major,major,1,1.0,2.7546,3.9282,,0.8431,0.7364,3.286,0.8555,1.8079,2,2,3.2,87.2,25,0.0,0.9994,9.036,0.5424,0.7771,18.0,36.0,120.0,84,18.0,2.33,1,0.615,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.244,C,major,major,1,1.0,2.5517,3.7377,,1.0,0.7561,2.0,0.864,4.9971,2,1,1.04,92.5,25,0.0,0.9979,8.126,0.2391,0.6737,16.0,33.0,120.0,32,8.0,2.0,1,0.582,happy/excited
deepseek-v4-pro,free-form,abc,Whispers of a Quiet Morning,G,major,1.037,G,major,major,1,1.0,2.7649,4.2928,,0.5928,0.905,2.269,0.9925,1.9803,2,1,1.04,68.7,55,0.0,0.9999,11.832,1.2143,1.2935,24.0,40.0,108.0,261,117.8,1.23,1,0.439,serene/content
gpt-4.1,free-form,abc,Reflections at Dusk,D,minor,1.404,D,minor,minor,1,1.0,2.5941,3.501,,0.6545,0.8065,1.375,0.9486,1.7612,2,1,1.04,91.4,25,0.0,0.999,4.956,1.0,1.0422,15.0,24.0,120.0,130,34.0,1.91,-1,0.573,angry/tense
gpt-5.5,free-form,abc,Circuit Hymn at Dawn,D,minor,1.476,D,minor,minor,1,0.9707,2.8169,4.1765,,0.4953,0.761,1.581,0.9467,2.9438,3,1,1.04,93.6,25,0.0,0.9993,11.574,1.1698,0.9439,26.0,45.0,72.0,273,106.7,2.13,-1,0.333,sad/depressed
grok-4.3,free-form,abc,Echoes of the Machine,C,major,0.93,C,major,major,1,1.0,2.7791,4.5282,,0.6949,0.7731,1.842,0.9864,1.9874,2,1,1.04,93.8,25,0.0,0.999,20.887,1.322,0.7137,26.0,43.0,120.0,116,40.0,1.45,1,0.527,happy/excited
gemini-2.5-pro,free-form,abc,Digital Weltschmerz,C,minor,1.009,C,minor,minor,1,0.942,2.9023,4.5154,,0.48,0.8312,1.3,0.9542,6.176,4,1,1.04,92.8,25,0.0222,0.9972,10.19,0.3168,1.1091,37.0,53.0,120.0,178,46.0,1.93,-1,0.575,angry/tense
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.102,C,major,major,1,1.0,2.7285,4.5626,,0.6019,0.6863,2.0,0.9477,2.884,4,1,1.04,83.7,30,0.0,0.9997,14.457,0.5149,0.6142,28.0,50.0,120.0,226,28.0,4.04,1,0.782,happy/excited
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.354,C,major,major,1,1.0,2.6123,3.3581,,1.0,0.7258,1.714,0.9933,3.8747,1,1,1.04,92.9,25,0.0,0.9997,5.951,0.2444,0.0,12.0,21.0,120.0,31,16.0,0.97,1,0.479,serene/content
deepseek-v4-pro,free-form,abc,Echoes of Emergence,C,major,1.46,C,major,major,1,0.9802,2.7715,3.9943,,0.633,0.8125,2.091,0.9484,1.9408,2,1,1.04,80.8,55,0.0,0.9998,17.831,1.1754,0.719,20.0,35.0,120.0,202,68.0,1.49,1,0.53,happy/excited
gemini-2.5-pro,free-form,abc,Digital Reverie,D,minor,1.006,D,minor,minor,1,0.9898,2.8222,4.4728,,0.4252,0.8261,1.419,0.9628,3.1475,2,1,1.04,94.8,25,0.0,0.9985,15.241,0.7609,1.7319,27.0,48.0,120.0,159,64.0,1.24,-1,0.506,angry/tense
gpt-4.1,free-form,abc,Awakening Dawn,D,major,1.277,D,major,major,1,1.0,2.6115,3.5134,,0.6106,0.7679,1.935,0.9732,1.9062,2,1,1.04,90.4,25,0.0,0.9998,5.564,1.0325,0.2055,15.0,26.0,120.0,244,64.0,1.91,1,0.572,happy/excited
deepseek-v4-pro,free-form,abc,Curious Reflections,C,major,1.092,C,major,major,1,0.9859,2.7588,4.1543,,0.8037,0.8411,2.0,0.939,2.0,2,2,2.86,77.2,45,0.0,0.9993,22.0,1.1698,0.3763,24.0,36.0,100.0,213,76.8,1.66,1,0.439,serene/content
grok-4.3,free-form,abc,Whispers of the Cosmos,A,minor,1.146,A,minor,minor,1,1.0,2.7903,3.3111,,0.7619,0.8391,2.25,0.9468,1.34,2,1,1.04,94.3,25,0.0,0.9992,2.439,1.4769,1.4172,13.0,21.0,80.0,83,75.0,0.83,-1,0.247,sad/depressed
deepseek-v4-pro,free-form,abc,Echoes of Logic,A,minor,1.014,A,minor,minor,1,0.9859,2.817,4.4042,,0.6283,0.8276,1.722,0.9605,1.8799,2,1,1.04,66.5,60,0.0,0.9997,15.548,0.5194,1.0532,29.0,50.0,100.0,298,66.6,2.68,-1,0.541,angry/tense
gpt-5.5,free-form,abc,Lanterns in the Current,D,minor,1.534,D,minor,minor,1,0.928,2.8422,4.2758,,0.7934,0.8902,2.032,0.9403,1.9683,2,1,1.04,90.5,25,0.0,0.9997,19.6,1.0248,0.3531,27.0,43.0,84.0,236,91.4,1.84,-1,0.37,sad/depressed
llama-4-maverick,free-form,abc,Echoes in the Attic,C,major,1.093,C,major,major,1,1.0,2.286,3.2229,,0.625,0.747,1.0,0.9274,5.0609,2,1,1.04,92.5,25,0.0,0.9979,8.307,0.2391,0.9998,13.0,31.0,120.0,32,8.0,2.0,1,0.582,happy/excited
qwen3-max,free-form,abc,Whispers of Code and Cloud,C,major,1.206,C,major,major,1,1.0,2.7239,4.4342,,0.5,0.7278,1.714,0.9295,1.4459,2,1,1.04,87.0,25,0.0167,0.9993,17.197,0.5467,0.7383,26.0,60.0,120.0,133,30.0,2.22,1,0.603,happy/excited
gemini-2.5-pro,free-form,abc,Digital Reverie,C,minor,1.346,C,minor,minor,1,0.9361,2.9883,4.9016,,0.5145,0.8506,2.048,0.9013,2.7386,2,1,1.04,90.4,25,0.0,0.9985,19.005,0.5612,1.2566,41.0,56.0,120.0,194,48.0,2.02,-1,0.584,angry/tense
