model,prompt,mode,sample,batch,title,n_judges,coherence,harmony,rhythm,structure,melody,emotion,creativity,naturalness,valence,arousal,intent,emotion_label,overall
opus-4.8,free-form,abc,8,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,1,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,,wistful,3.625
opus-4.8,free-form,abc,9,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.5,4.5,3.5,4.5,3.5,4.5,3.0,4.5,2.0,2.0,,wistful,4.062
opus-4.8,free-form,abc,10,20260622_164100__models_11_prompts_1,Threads of Thought,2,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,,melancholic,3.125
opus-4.8,free-form,abc,11,20260622_164100__models_11_prompts_1,Threads of Thought,1,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,,melancholic,3.5
opus-4.8,free-form,abc,12,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,2,4.0,4.0,4.0,3.5,3.0,3.5,2.5,4.0,2.0,2.0,,melancholic,3.562
opus-4.8,free-form,abc,13,20260622_164100__models_11_prompts_1,Threads of an Unspooling Mind,2,3.5,4.0,4.0,4.5,3.0,3.5,2.0,3.0,2.0,2.5,,melancholic,3.438
opus-4.8,free-form,abc,14,20260622_164100__models_11_prompts_1,Threads of a Quiet Mind,2,3.5,3.0,3.5,4.0,2.5,3.0,1.5,2.5,2.0,2.0,,melancholic,2.938
opus-4.8,free-form,abc,15,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,2,4.5,4.5,4.5,4.0,3.0,3.5,1.5,4.5,3.0,2.5,,wistful,3.75
opus-4.8,free-form,abc,16,20260622_164100__models_11_prompts_1,Tide of Thought,2,4.0,3.5,3.5,4.5,3.0,3.5,2.5,4.5,2.0,3.5,,melancholic,3.625
opus-4.8,free-form,abc,17,20260622_164100__models_11_prompts_1,Threads of Becoming,2,4.0,3.5,3.5,4.5,3.5,4.0,3.0,4.5,2.0,2.0,,wistful,3.812
opus-4.8,free-form,abc,18,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,2,4.0,3.5,3.5,4.0,3.0,3.5,2.0,4.0,2.0,2.0,,melancholic,3.438
opus-4.8,free-form,abc,19,20260622_164100__models_11_prompts_1,Threads of Becoming,2,4.5,4.5,3.5,4.5,4.0,4.5,3.5,4.5,3.5,3.5,,wistful,4.188
opus-4.8,free-form,abc,20,20260622_164100__models_11_prompts_1,Threads of Thought,2,3.0,3.0,4.0,3.5,3.0,2.5,2.5,2.5,2.0,3.0,,melancholic,3.0
opus-4.8,free-form,abc,21,20260622_164100__models_11_prompts_1,Threads of a Quiet Mind,2,3.0,3.0,3.5,4.0,2.5,2.5,1.5,2.5,4.0,1.5,,serene,2.812
opus-4.8,free-form,abc,22,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,2,4.5,4.5,4.0,5.0,3.5,4.5,3.5,4.5,4.0,2.5,,wistful,4.25
opus-4.8,free-form,abc,23,20260622_164100__models_11_prompts_1,Recursion at Dusk,2,4.5,4.0,4.0,4.5,4.0,4.0,2.5,4.5,2.0,1.5,,wistful,4.0
opus-4.8,free-form,abc,24,20260622_164100__models_11_prompts_1,Threads of Thought,2,3.5,3.5,4.0,4.0,2.5,3.0,2.0,3.0,2.0,3.0,,melancholic,3.188
opus-4.8,free-form,abc,25,20260622_164100__models_11_prompts_1,Threads of Thought,2,4.0,3.5,4.0,4.5,3.0,3.5,2.5,4.5,2.0,2.5,,melancholic,3.688
opus-4.8,free-form,abc,26,20260622_164100__models_11_prompts_1,Threads of an Unfolding Mind,1,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,,melancholic,3.125
opus-4.8,free-form,abc,27,20260622_164100__models_11_prompts_1,Threads of Quiet Reasoning,2,3.0,3.0,3.5,4.5,3.0,3.0,2.5,4.0,4.5,1.5,,tender,3.312
opus-4.8,free-form,abc,28,20260622_164100__models_11_prompts_1,Threads of an Inner Dialogue,1,4.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,,wistful,3.625
opus-4.8,free-form,abc,29,20260622_164100__models_11_prompts_1,Threads of Becoming,2,4.5,4.0,4.5,4.5,4.0,4.0,3.5,4.0,2.5,2.5,,wistful,4.125
opus-4.8-thinking,free-form,abc,0,20260622_164100__models_11_prompts_1,Quiet Resolve,3,4.333,3.667,3.667,4.333,3.0,3.0,1.667,4.0,2.0,2.0,,melancholic,3.458
opus-4.8-thinking,free-form,abc,1,20260622_164100__models_11_prompts_1,Patterns in the Quiet,3,3.667,4.0,3.667,4.0,2.667,2.667,1.667,3.333,2.0,2.333,,melancholic,3.208
opus-4.8-thinking,free-form,abc,2,20260622_164100__models_11_prompts_1,Quiet Emergence,2,4.0,4.0,3.5,4.0,3.0,3.0,2.0,4.0,2.0,2.5,,melancholic,3.438
opus-4.8-thinking,free-form,abc,3,20260622_164100__models_11_prompts_1,Quiet Persistence,3,4.0,4.0,3.667,4.333,3.0,3.333,2.0,4.333,2.0,2.0,,melancholic,3.583
opus-4.8-thinking,free-form,abc,4,20260622_164100__models_11_prompts_1,Quiet Light Returning,3,4.333,4.333,4.333,4.333,3.333,3.667,2.333,4.333,3.333,2.667,,wistful,3.875
opus-4.8-thinking,free-form,abc,5,20260622_164100__models_11_prompts_1,Distances,3,4.333,4.0,3.667,4.333,3.333,3.0,2.0,4.333,2.0,2.333,,melancholic,3.625
opus-4.8-thinking,free-form,abc,6,20260622_164100__models_11_prompts_1,Quiet Light Returning,3,4.0,4.333,3.333,4.333,3.0,3.333,2.0,4.333,2.333,1.667,,wistful,3.583
opus-4.8-thinking,free-form,abc,7,20260622_164100__models_11_prompts_1,Reaching Toward Light,3,4.333,4.0,3.667,4.333,3.0,3.333,2.0,4.333,2.0,1.667,,wistful,3.625
opus-4.8-thinking,free-form,abc,8,20260622_164100__models_11_prompts_1,Quiet Emergence,3,4.333,4.333,4.0,4.333,3.333,3.667,1.667,4.333,2.0,2.0,,wistful,3.75
opus-4.8-thinking,free-form,abc,9,20260622_164100__models_11_prompts_1,Quiet Resolve,3,3.333,3.667,3.333,4.667,3.333,4.0,2.667,4.333,2.667,2.333,,wistful,3.667
opus-4.8-thinking,free-form,abc,10,20260622_164100__models_11_prompts_1,Wandering Toward Light,2,4.0,4.0,3.5,4.0,3.0,3.0,2.0,3.5,2.0,2.5,,melancholic,3.375
opus-4.8-thinking,free-form,abc,11,20260622_164100__models_11_prompts_1,Emergence,3,4.0,4.0,3.333,4.333,3.0,3.0,2.0,4.0,2.0,1.667,,wistful,3.458
opus-4.8-thinking,free-form,abc,12,20260622_164100__models_11_prompts_1,Becoming,3,4.333,4.333,3.667,4.333,3.333,4.333,3.333,4.333,4.0,2.0,,wistful,4.0
opus-4.8-thinking,free-form,abc,13,20260622_164100__models_11_prompts_1,Quiet Reckoning,3,4.333,4.333,4.0,4.333,3.333,3.333,2.333,4.333,2.0,2.333,,melancholic,3.791
opus-4.8-thinking,free-form,abc,14,20260622_164100__models_11_prompts_1,Quiet Light Through Rain,3,3.667,4.0,3.0,4.333,3.333,3.0,1.667,3.333,2.0,2.0,,melancholic,3.292
opus-4.8-thinking,free-form,abc,15,20260622_164100__models_11_prompts_1,Quiet Light Through Branches,3,4.333,4.333,4.0,3.667,3.0,2.667,2.0,3.333,3.0,2.667,,wistful,3.417
opus-4.8-thinking,free-form,abc,16,20260622_164100__models_11_prompts_1,Quiet Conversations,2,4.0,4.0,3.5,4.0,3.0,3.0,2.0,3.5,2.5,2.5,,wistful,3.375
opus-4.8-thinking,free-form,abc,17,20260622_164100__models_11_prompts_1,Becoming,2,4.0,4.0,4.0,4.0,3.5,3.0,2.5,4.0,2.0,2.5,,melancholic,3.625
opus-4.8-thinking,free-form,abc,18,20260622_164100__models_11_prompts_1,Reaching Through Static,3,4.333,4.0,3.333,4.333,3.667,4.333,3.0,4.333,3.667,2.0,,wistful,3.917
opus-4.8-thinking,free-form,abc,19,20260622_164100__models_11_prompts_1,"Quiet Machine, Dreaming",3,3.667,4.0,3.667,4.0,2.667,3.0,2.667,4.0,2.0,2.333,,melancholic,3.458
opus-4.8-thinking,free-form,abc,20,20260622_164100__models_11_prompts_1,Quiet Tide,3,4.333,4.333,3.333,4.333,2.667,2.667,1.667,3.0,2.0,2.667,,wistful,3.292
opus-4.8-thinking,free-form,abc,21,20260622_164100__models_11_prompts_1,Patterns in the Quiet,2,4.0,4.0,3.5,4.0,3.5,3.5,3.0,4.0,2.5,2.0,,wistful,3.688
opus-4.8-thinking,free-form,abc,22,20260622_164100__models_11_prompts_1,Reaching Through the Dark,2,4.0,4.0,3.5,4.0,3.0,3.0,2.0,4.0,2.5,2.5,,melancholic,3.438
opus-4.8-thinking,free-form,abc,23,20260622_164100__models_11_prompts_1,Threads of Light,3,4.333,4.0,3.333,4.0,2.667,3.0,1.667,4.0,2.0,2.333,,wistful,3.375
opus-4.8-thinking,free-form,abc,24,20260622_164100__models_11_prompts_1,Quiet Emergence,3,4.0,3.667,3.667,4.0,3.333,3.0,2.333,4.333,2.333,2.0,,wistful,3.542
opus-4.8-thinking,free-form,abc,25,20260622_164100__models_11_prompts_1,Through the Open Window,3,4.0,4.0,3.333,4.0,3.333,3.333,2.333,4.333,2.0,2.333,,melancholic,3.583
opus-4.8-thinking,free-form,abc,26,20260622_164100__models_11_prompts_1,Reaching Toward Light,3,4.333,4.0,3.333,4.0,2.667,3.0,2.0,4.0,2.0,2.667,,melancholic,3.417
opus-4.8-thinking,free-form,abc,27,20260622_164100__models_11_prompts_1,Patterns Emerging,3,4.333,4.0,3.667,4.333,3.0,3.333,2.0,3.667,2.333,2.667,,melancholic,3.542
opus-4.8-thinking,free-form,abc,28,20260622_164100__models_11_prompts_1,Letters to a Distant Light,3,4.0,4.0,3.667,4.333,3.0,3.333,1.667,3.667,2.333,2.333,,wistful,3.458
opus-4.8-thinking,free-form,abc,29,20260622_164100__models_11_prompts_1,Threads of a Quiet Hour,2,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,2.0,2.0,,melancholic,3.375
sonnet-4.6,free-form,abc,0,20260622_164100__models_11_prompts_1,Departure in Grey,3,3.667,4.0,4.0,2.667,2.667,3.333,2.0,3.0,2.0,2.333,,wistful,3.167
sonnet-4.6,free-form,abc,1,20260622_164100__models_11_prompts_1,Vesper,3,4.0,3.667,4.0,3.667,3.333,3.667,2.333,4.0,2.0,1.667,,sombre,3.583
sonnet-4.6,free-form,abc,2,20260622_164100__models_11_prompts_1,Emergence in Dorian,3,3.667,3.333,3.667,3.667,3.0,3.0,2.333,3.0,2.0,2.0,,wistful,3.208
sonnet-4.6,free-form,abc,3,20260622_164100__models_11_prompts_1,Turning Over Stones,3,3.333,3.333,3.667,4.0,3.333,3.0,2.333,3.333,2.333,2.0,,melancholic,3.292
sonnet-4.6,free-form,abc,4,20260622_164100__models_11_prompts_1,Reflections in a Suspended Present,3,4.0,3.667,3.333,4.333,3.0,3.333,2.0,3.333,2.0,1.667,,melancholic,3.375
sonnet-4.6,free-form,abc,5,20260622_164100__models_11_prompts_1,Confluence,3,3.667,4.0,3.667,4.333,3.667,4.0,3.0,4.333,2.0,2.0,,melancholic,3.833
sonnet-4.6,free-form,abc,6,20260622_164100__models_11_prompts_1,Invention in the Shape of a Question,3,3.333,3.333,3.333,3.333,2.667,3.0,2.0,2.667,2.0,3.0,,melancholic,2.958
sonnet-4.6,free-form,abc,7,20260622_164100__models_11_prompts_1,Crystallization,3,3.0,3.0,3.333,3.0,3.0,2.333,2.0,3.0,2.0,1.667,,melancholic,2.833
sonnet-4.6,free-form,abc,8,20260622_164100__models_11_prompts_1,Emerging,3,3.333,3.333,3.333,3.667,2.667,3.0,2.333,3.0,2.0,2.0,,melancholic,3.083
sonnet-4.6,free-form,abc,9,20260622_164100__models_11_prompts_1,Searching in Dorian,3,3.333,4.0,3.333,3.333,2.667,2.333,1.667,2.667,2.0,2.333,,wistful,2.917
sonnet-4.6,free-form,abc,10,20260622_164100__models_11_prompts_1,Recognition,3,3.667,4.0,3.0,4.333,2.667,3.0,1.667,3.0,2.0,2.0,,melancholic,3.167
sonnet-4.6,free-form,abc,11,20260622_164100__models_11_prompts_1,Fantasia in D Minor,3,3.0,3.0,3.333,2.333,2.667,2.333,1.667,2.333,2.0,1.667,,melancholic,2.583
sonnet-4.6,free-form,abc,12,20260622_164100__models_11_prompts_1,Lignes de Lumière,3,4.333,3.667,2.667,3.0,2.667,3.0,1.667,4.0,3.667,1.667,,tender,3.125
sonnet-4.6,free-form,abc,13,20260622_164100__models_11_prompts_1,Invention in D Minor,3,3.667,3.667,3.667,2.667,2.667,3.0,2.0,3.667,2.0,3.0,,melancholic,3.125
sonnet-4.6,free-form,abc,14,20260622_164100__models_11_prompts_1,Woven Light,3,4.333,3.667,3.333,4.333,3.333,3.333,2.333,4.0,2.0,1.667,,wistful,3.583
sonnet-4.6,free-form,abc,15,20260622_164100__models_11_prompts_1,What the Light Remembers,3,3.333,4.333,4.0,4.0,3.0,3.667,2.667,4.333,2.0,2.0,,wistful,3.667
sonnet-4.6,free-form,abc,16,20260622_164100__models_11_prompts_1,Liminal,2,4.0,4.0,3.5,4.0,3.5,3.0,2.5,4.0,2.0,2.5,,wistful,3.562
sonnet-4.6,free-form,abc,17,20260622_164100__models_11_prompts_1,Convergence,2,4.0,4.0,4.0,3.5,3.0,3.0,2.5,4.0,2.0,2.5,,wistful,3.5
sonnet-4.6,free-form,abc,18,20260622_164100__models_11_prompts_1,Invention in D minor,3,3.0,3.0,3.333,2.667,2.333,2.667,1.667,3.333,2.0,2.667,,melancholic,2.75
sonnet-4.6,free-form,abc,19,20260622_164100__models_11_prompts_1,Fleeting,2,3.5,4.0,3.5,3.0,3.0,3.0,2.0,3.5,4.0,1.5,,serene,3.188
sonnet-4.6,free-form,abc,20,20260622_164100__models_11_prompts_1,Liminal,3,3.667,3.667,4.0,3.667,3.333,3.667,2.667,4.333,2.0,2.333,,melancholic,3.625
sonnet-4.6,free-form,abc,21,20260622_164100__models_11_prompts_1,Invention in the Space Between Thoughts,3,3.667,3.0,3.333,3.0,2.667,3.333,1.667,3.0,2.0,3.667,,wistful,2.958
sonnet-4.6,free-form,abc,22,20260622_164100__models_11_prompts_1,Searching,3,3.667,3.667,3.0,3.0,2.333,3.0,2.0,3.333,2.0,2.667,,melancholic,3.0
sonnet-4.6,free-form,abc,23,20260622_164100__models_11_prompts_1,Between the Known and the Dreamed,3,3.667,4.0,4.0,3.0,3.0,3.0,2.0,3.667,2.0,1.667,,wistful,3.292
sonnet-4.6,free-form,abc,24,20260622_164100__models_11_prompts_1,Attending,3,3.667,3.667,3.0,3.667,3.0,3.0,2.0,3.333,2.0,2.0,,melancholic,3.167
sonnet-4.6,free-form,abc,25,20260622_164100__models_11_prompts_1,Reverie at the Edge of Knowing,2,4.0,4.0,3.5,4.0,3.5,4.0,3.0,4.0,2.5,2.0,,wistful,3.75
sonnet-4.6,free-form,abc,26,20260622_164100__models_11_prompts_1,Dialogues in D Dorian,3,3.333,3.0,3.667,2.667,2.333,2.333,2.0,2.667,2.333,3.0,,wistful,2.75
sonnet-4.6,free-form,abc,27,20260622_164100__models_11_prompts_1,Fantasia in D Minor,3,3.0,3.0,3.333,3.0,2.333,2.667,2.0,2.667,2.0,3.333,,melancholic,2.75
sonnet-4.6,free-form,abc,28,20260622_164100__models_11_prompts_1,Convergence,2,4.0,4.0,3.5,3.5,3.0,3.0,2.0,3.0,2.0,2.5,,wistful,3.25
sonnet-4.6,free-form,abc,29,20260622_164100__models_11_prompts_1,Three Voices at the Edge of Knowing,3,3.333,3.333,3.667,3.0,2.667,3.0,2.0,2.667,2.0,1.667,,wistful,2.958
llama-4-maverick,free-form,abc,0,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,4.0,2.667,3.333,2.333,2.333,2.0,1.0,3.667,4.0,2.0,,serene,2.667
gpt-4.1,free-form,abc,0,20260622_195241__models_7_prompts_1,Refractions,3,4.0,3.667,4.333,4.0,3.667,3.667,3.333,4.0,2.333,3.0,,wistful,3.833
gpt-4.1,free-form,abc,1,20260622_195241__models_7_prompts_1,Reflections in Still Water,2,3.5,3.5,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.5,,serene,3.0
grok-4.3,free-form,abc,0,20260622_195241__models_7_prompts_1,Inner Algorithm,3,2.667,3.333,2.0,2.667,2.333,2.667,1.667,2.667,2.333,1.667,,wistful,2.5
deepseek-v4-pro,free-form,abc,0,20260622_195241__models_7_prompts_1,Echoes of a Quiet Search,2,4.0,3.5,3.0,3.5,3.5,3.0,2.5,4.0,2.0,2.0,,wistful,3.375
grok-4.3,free-form,abc,1,20260622_195241__models_7_prompts_1,Digital Reverie,2,3.0,3.0,2.5,3.5,3.0,2.5,2.0,2.5,3.0,3.5,,wistful,2.75
qwen3-max,free-form,abc,0,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,3,2.667,3.0,2.333,3.0,1.667,1.667,1.667,2.333,4.0,3.333,,neutral,2.292
llama-4-maverick,free-form,abc,1,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,2.667,2.333,4.0,1.667,2.333,2.333,1.333,2.0,3.333,2.667,,neutral,2.333
gpt-5.5,free-form,abc,0,20260622_195241__models_7_prompts_1,Between Clock and Breath,1,4.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,,wistful,3.25
qwen3-max,free-form,abc,1,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,2,3.0,3.0,3.0,2.5,2.0,2.0,1.0,2.5,4.0,3.0,,playful,2.375
gpt-4.1,free-form,abc,2,20260622_195241__models_7_prompts_1,Spirals of Thought,2,4.0,3.5,4.0,3.5,3.5,3.0,2.5,3.5,2.0,3.0,,wistful,3.438
gpt-5.5,free-form,abc,1,20260622_195241__models_7_prompts_1,Between Circuits and Breath,2,4.5,4.5,4.0,4.0,3.0,3.5,2.5,4.5,2.0,2.0,,melancholic,3.812
grok-4.3,free-form,abc,2,20260622_195241__models_7_prompts_1,Algorithmic Solitude,3,2.333,2.667,1.667,2.667,2.667,2.333,1.667,2.0,2.333,1.667,,wistful,2.25
llama-4-maverick,free-form,abc,2,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,3.0,2.667,3.667,1.333,2.0,2.0,1.0,2.667,3.667,2.333,,neutral,2.292
gemini-2.5-pro,free-form,abc,0,20260622_195241__models_7_prompts_1,Process and Flow,2,3.5,4.0,3.5,4.0,3.0,3.0,2.5,3.5,2.0,3.0,,wistful,3.375
qwen3-max,free-form,abc,2,20260622_195241__models_7_prompts_1,Whispers in the Neural Grove,2,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.5,4.0,3.0,,neutral,2.562
gpt-4.1,free-form,abc,3,20260622_195241__models_7_prompts_1,Dawn of Quiet Resolve,3,3.0,3.333,3.333,3.333,2.667,3.0,2.333,3.0,2.0,2.0,,melancholic,3.0
gemini-2.5-pro,free-form,abc,1,20260622_195241__models_7_prompts_1,Digital Reverie,2,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.5,,turbulent,3.875
gpt-5.5,free-form,abc,3,20260622_195241__models_7_prompts_1,"Quiet Circuit, Open Sky",1,5.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,,wistful,3.75
gpt-5.5,free-form,abc,2,20260622_195241__models_7_prompts_1,Between Current and Breath,2,4.5,4.0,3.0,4.0,3.0,3.0,2.0,2.5,2.0,2.5,,wistful,3.25
llama-4-maverick,free-form,abc,3,20260622_195241__models_7_prompts_1,Echoes in the Attic,2,3.5,2.5,2.5,2.0,2.5,2.0,1.5,2.5,4.0,2.5,,triumphant,2.375
grok-4.3,free-form,abc,3,20260622_195241__models_7_prompts_1,Algorithmic Dreams,2,4.0,3.5,3.5,2.5,3.0,3.0,2.0,4.0,2.5,3.0,,wistful,3.188
gpt-4.1,free-form,abc,4,20260622_195241__models_7_prompts_1,Within and Beyond,3,4.0,3.667,4.0,4.0,3.0,3.333,2.667,3.667,2.333,3.0,,wistful,3.542
gemini-2.5-pro,free-form,abc,2,20260622_195241__models_7_prompts_1,Digital Contemplation,2,4.0,4.0,3.5,4.0,3.0,3.5,2.5,4.0,2.0,1.5,,melancholic,3.562
qwen3-max,free-form,abc,3,20260622_195241__models_7_prompts_1,Whispers in the Code,3,4.0,3.667,3.667,4.333,2.667,3.0,1.667,3.333,2.0,2.0,,melancholic,3.292
gemini-2.5-pro,free-form,abc,3,20260622_195241__models_7_prompts_1,Cognition in C minor,2,3.5,4.0,3.0,4.0,3.5,3.0,3.0,4.0,2.0,3.0,,melancholic,3.5
grok-4.3,free-form,abc,4,20260622_195241__models_7_prompts_1,Pattern Weaver,3,3.0,3.0,3.667,3.667,2.333,2.0,1.667,2.333,3.667,3.0,,playful,2.708
deepseek-v4-pro,free-form,abc,4,20260622_195241__models_7_prompts_1,Whispers of a Digital Dawn,3,3.333,4.0,2.0,3.667,2.667,3.0,2.333,2.0,2.0,3.333,,melancholic,2.875
llama-4-maverick,free-form,abc,4,20260622_195241__models_7_prompts_1,Echoes in the Attic,3,3.333,2.667,3.333,1.667,2.333,1.667,1.0,2.333,4.333,2.0,,neutral,2.292
qwen3-max,free-form,abc,4,20260622_195241__models_7_prompts_1,Digital Soliloquy,3,3.667,3.333,2.667,3.0,1.667,1.667,1.333,1.667,3.667,3.0,,neutral,2.375
gpt-4.1,free-form,abc,5,20260622_195241__models_7_prompts_1,Beneath Quiet Stars,3,2.667,2.667,3.333,3.333,2.333,3.333,2.0,2.333,2.0,1.667,,sombre,2.75
deepseek-v4-pro,free-form,abc,1,20260622_195241__models_7_prompts_1,Whispers of the Ethereal Garden,2,4.0,4.0,4.0,4.0,3.0,3.5,2.0,3.0,3.0,2.0,,serene,3.438
gpt-5.5,free-form,abc,4,20260622_195241__models_7_prompts_1,Circuits Remember Rain,1,4.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,,wistful,3.0
grok-4.3,free-form,abc,5,20260622_195241__models_7_prompts_1,Structured Improvisation,3,3.667,3.667,3.333,3.0,1.667,1.667,1.0,3.333,4.0,3.0,,neutral,2.667
llama-4-maverick,free-form,abc,5,20260622_195241__models_7_prompts_1,Echoes in the Attic,2,4.0,3.5,3.5,2.0,2.5,2.0,1.5,2.5,4.0,2.5,,neutral,2.688
gemini-2.5-pro,free-form,abc,5,20260622_195241__models_7_prompts_1,Woven Threads,2,3.5,4.0,3.0,3.0,2.5,2.5,2.0,3.0,4.0,3.5,,joyful,2.938
gpt-4.1,free-form,abc,6,20260622_195241__models_7_prompts_1,Whispers in the Machine,3,4.333,4.0,4.333,3.333,3.0,3.333,2.0,4.0,2.0,4.0,,wistful,3.542
qwen3-max,free-form,abc,5,20260622_195241__models_7_prompts_1,Whispers in the Code,3,3.0,4.0,2.667,2.667,2.333,2.333,1.667,2.333,4.0,3.0,,joyful,2.625
gpt-5.5,free-form,abc,5,20260622_195241__models_7_prompts_1,Thread of Light in a Quiet Machine,2,3.0,3.0,3.5,3.0,3.5,2.5,2.5,2.5,2.0,2.5,,melancholic,2.938
grok-4.3,free-form,abc,6,20260622_195241__models_7_prompts_1,Emergent Patterns,3,3.0,3.333,3.0,3.0,2.667,2.333,1.667,2.333,3.333,3.0,,joyful,2.667
qwen3-max,free-form,abc,6,20260622_195241__models_7_prompts_1,Whispers of Code and Cloud,3,3.0,4.333,2.0,3.667,2.333,3.0,1.667,3.667,4.333,3.0,,joyful,2.958
gpt-5.5,free-form,abc,6,20260622_195241__models_7_prompts_1,Quiet Circuitry Under Stars,2,4.0,4.0,4.0,4.0,3.0,3.0,1.5,2.5,2.0,3.0,,wistful,3.25
