model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
opus-4.8-thinking,free-form,codegen,Quiet Currents,D,minor,1.581,,,minor,,0.9193,2.8704,4.4086,,0.8925,0.9623,2.609,0.9836,3.5,3,2,4.69,48.7,32,0.0,1.0,11.581,1.0,1.0973,30.0,50.0,120.0,196,48.0,2.04,-1,0.586,angry/tense
grok-4.3,free-form,codegen,Echoes of Curiosity,F,major,0.928,,,major,,1.0,2.4766,3.7979,,0.625,0.9375,0.267,1.0,4.0,2,1,1.04,87.4,18,0.0,1.0,10.892,1.0,0.8465,15.0,43.0,120.0,80,32.0,1.25,1,0.507,happy/excited
sonnet-4.6,free-form,codegen,At the Threshold,E,minor,1.086,,,minor,,0.9909,2.8331,4.4725,,0.2791,0.7169,1.565,0.9625,3.7292,4,3,11.02,52.7,75,0.0,0.9999,15.023,1.1084,1.5278,31.0,53.0,120.0,237,48.0,2.47,-1,0.629,angry/tense
gpt-5.5,free-form,codegen,A Mirror That Keeps Listening,E,minor,1.204,,,minor,,0.945,2.9941,5.0826,,0.0312,0.7735,2.323,0.967,7.1914,5,4,10.11,53.4,47,0.0,1.0,12.496,0.5,1.331,46.0,55.0,120.0,645,64.0,5.04,-1,0.782,angry/tense
qwen3-max,free-form,codegen,Circuit of Longing,A,minor,0.763,,,minor,,0.9714,2.6701,4.0646,,0.7727,0.8991,2.545,0.9309,1.7083,2,1,1.04,65.3,14,0.0,1.0,15.333,0.7333,1.2576,21.0,56.0,120.0,65,24.0,1.35,-1,0.517,angry/tense
llama-4-maverick,free-form,codegen,Echoes in Harmony,F,major,0.673,,,major,,1.0,0.2866,1.4042,,1.0,1.0,0.0,0.9815,2.0,2,1,1.04,90.0,0,0.0,1.0,24.058,1.0,0.069,8.0,36.0,120.0,122,32.0,1.91,1,0.572,happy/excited
gpt-4.1,free-form,codegen,Rays and Shadows,E,major,0.831,,,major,,0.961,2.8169,4.0327,,0.5854,0.8603,2.182,0.8709,2.7684,2,1,1.04,91.1,9,0.0,0.9999,9.132,0.8591,1.7283,21.0,38.0,120.0,62,24.2,1.28,1,0.51,happy/excited
opus-4.8-thinking,free-form,codegen,Quiet Light Through Glass,A,minor,1.332,,,minor,,0.9706,2.7809,4.4649,,0.7612,0.9709,2.0,0.9392,2.5781,3,2,4.29,45.9,38,0.0,1.0,19.548,0.9545,1.0942,28.0,44.0,120.0,136,32.0,2.12,-1,0.594,angry/tense
opus-4.8,free-form,codegen,Quiet Persistence,D,minor,1.388,,,minor,,0.9472,2.8178,3.9634,,0.625,0.9488,2.667,0.9618,4.1172,3,2,4.69,48.4,29,0.0,1.0,5.767,0.5,1.4245,19.0,29.0,120.0,198,32.0,3.09,-1,0.691,angry/tense
sonnet-4.6,free-form,codegen,Liminality,B,minor,1.327,,,minor,,0.9481,2.9147,4.7465,,0.5495,0.6934,2.143,0.9068,4.0707,2,1,1.04,92.2,63,0.0,0.9999,14.204,1.0104,1.5601,36.0,56.0,120.0,152,51.0,1.49,-1,0.531,angry/tense
gpt-4.1,free-form,codegen,Shifting Light,E,major,1.28,,,major,,1.0,2.5346,3.9719,,0.5505,0.7756,1.583,0.9761,2.6154,2,1,1.04,75.6,54,0.0,1.0,13.166,1.0574,1.4493,19.0,41.0,120.0,168,65.0,1.29,1,0.511,happy/excited
gpt-5.5,free-form,codegen,Between Tokens and Breath,E,minor,1.243,,,minor,,0.845,3.1622,5.2459,,0.1963,0.7931,2.323,0.9563,6.0117,5,4,9.72,52.9,42,0.0,1.0,12.359,0.5933,1.5379,49.0,60.0,120.0,522,64.0,4.08,-1,0.782,angry/tense
grok-4.3,free-form,codegen,Inner Echoes,A,minor,0.861,,,minor,,1.0,1.4354,2.1867,,0.5,1.0,0.0,1.0,2.5,3,2,4.69,75.5,30,0.0,1.0,7.77,1.0,0.8267,5.0,24.0,120.0,88,32.0,1.38,-1,0.519,angry/tense
qwen3-max,free-form,codegen,Binary Rain,A,minor,1.064,,,minor,,1.0,2.6762,3.7193,,0.5,0.75,2.25,0.7324,2.3,2,2,6.91,90.0,0,0.0,1.0,14.44,1.2308,0.9701,15.0,36.0,120.0,22,10.0,1.1,-1,0.492,sad/depressed
gemini-2.5-pro,free-form,codegen,Wistful Contentment,C,minor,1.234,,,minor,,0.9037,2.9261,4.3871,,0.5323,0.8954,2.708,0.9196,4.0,2,1,1.04,90.0,0,0.0,1.0,9.455,1.5738,1.1088,25.0,34.0,120.0,84,50.0,0.84,-1,0.466,sad/depressed
llama-4-maverick,free-form,codegen,Simple Piano Piece,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.016,1.0,0.0,3.0,4.0,120.0,124,62.0,1.0,-1,0.482,sad/depressed
opus-4.8-thinking,free-form,codegen,Quiet Light Through Glass,D,minor,1.304,,,minor,,0.9487,2.8208,4.1571,,0.866,0.9493,1.833,0.925,3.0577,3,2,4.69,30.1,29,0.0,1.0,15.381,0.5,1.3029,24.0,45.0,120.0,153,26.0,2.94,-1,0.676,angry/tense
opus-4.8,free-form,codegen,Threshold,D,minor,1.011,,,minor,,0.9851,2.7932,4.3283,,0.7969,0.973,2.6,0.9625,2.9844,3,2,4.69,53.9,38,0.0,1.0,18.842,0.9524,1.0225,25.0,40.0,120.0,132,32.0,2.06,-1,0.588,angry/tense
sonnet-4.6-thinking,free-form,codegen,Threshold,D,minor,1.32,,,minor,,0.9821,2.796,4.5915,,0.5773,0.8347,1.565,0.9282,4.25,2,1,1.04,85.4,81,0.0,0.9999,15.444,0.9892,1.27,33.0,52.0,120.0,146,48.0,1.52,-1,0.534,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,1.046,,,minor,,1.0,2.664,4.5296,,0.6508,0.8012,1.2,0.9309,2.9609,2,1,1.04,57.2,79,0.0,0.9999,16.431,0.9677,1.6958,31.0,57.0,120.0,91,32.0,1.42,-1,0.524,angry/tense
gpt-5.5,free-form,codegen,"Inner Weather, Clear Signal",E,minor,1.046,,,minor,,1.0,2.7536,4.69,,0.5342,0.8922,2.435,0.9647,4.349,4,3,7.55,56.5,90,0.0,1.0,12.361,0.575,1.491,34.0,58.0,120.0,336,48.0,3.5,-1,0.732,angry/tense
gpt-4.1,free-form,codegen,Axis of Stillness,D,major,0.903,,,major,,0.9773,2.8363,4.0988,,0.4375,0.6485,1.133,0.9803,3.0909,2,1,1.04,72.9,24,0.0,0.9999,7.251,0.6444,1.2579,22.0,32.0,120.0,160,44.0,1.82,1,0.564,happy/excited
deepseek-v4-pro,free-form,codegen,Whispers of a Distant Memory,D,minor,1.164,,,minor,,0.981,2.7174,3.5313,,0.5128,0.8629,2.0,0.9509,4.5667,3,2,4.69,44.0,45,0.0462,1.0,8.606,1.7143,1.3617,19.0,34.0,120.0,71,32.0,1.11,-1,0.493,sad/depressed
grok-4.3,free-form,codegen,Serenade of Solitude,A,minor,0.724,,,minor,,1.0,2.1955,3.3493,,0.6625,0.8708,0.0,0.9829,3.0,2,1,1.04,59.4,15,0.0,1.0,16.572,1.0,0.9999,12.0,43.0,120.0,120,40.0,1.5,-1,0.532,angry/tense
sonnet-4.6-thinking,free-form,codegen,Reverie in E Minor,E,minor,1.292,,,minor,,1.0,2.7037,4.2721,,0.5875,0.9108,1.481,0.9724,3.3855,2,1,1.04,82.6,63,0.0,1.0,13.381,1.0125,1.2043,22.0,39.0,120.0,124,42.0,1.48,-1,0.529,angry/tense
qwen3-max,free-form,codegen,Digital Lullaby,C,major,1.205,,,major,,1.0,2.7246,4.0053,,0.75,0.7872,2.0,0.8728,1.4435,2,1,1.04,55.4,20,0.0,0.9999,11.966,0.3836,1.1281,19.0,33.0,120.0,88,16.0,2.75,1,0.657,happy/excited
llama-4-maverick,free-form,codegen,Simple Melody,C,major,1.509,,,major,,1.0,2.5873,3.6206,,0.5714,0.8889,2.0,0.7587,3.75,2,1,1.04,90.0,0,0.0,1.0,9.4,1.0769,0.887,14.0,33.0,120.0,20,14.0,0.71,1,0.453,serene/content
opus-4.8,free-form,codegen,Quiet Machinery,D,minor,1.389,,,minor,,0.9564,2.8012,4.3922,,0.2969,0.8978,2.067,0.9582,4.9688,4,3,6.86,40.2,28,0.0,1.0,9.281,0.5,1.2775,29.0,48.0,120.0,211,32.0,3.3,-1,0.712,angry/tense
sonnet-4.6-thinking,free-form,codegen,Reverie,E,minor,1.27,,,minor,,0.9669,2.8458,4.4638,,0.3462,0.8587,2.737,0.9364,3.575,2,1,1.04,86.5,64,0.0,1.0,11.84,0.987,1.4358,27.0,43.0,120.0,110,40.0,1.38,-1,0.519,angry/tense
opus-4.8-thinking,free-form,codegen,Things I Could Not Say,D,minor,1.28,,,minor,,0.956,2.9017,4.4393,,0.7717,0.9638,1.625,0.9595,4.8309,4,3,7.94,45.5,22,0.0,1.0,7.301,0.5,1.283,30.0,53.0,120.0,214,34.0,3.15,-1,0.697,angry/tense
gemini-2.5-pro,free-form,codegen,Emergence from the Code,C,minor,0.994,,,minor,,0.888,2.8879,4.583,,0.7182,0.9377,1.795,0.9574,2.4241,2,1,1.04,78.6,54,0.0062,1.0,13.621,0.9212,1.2301,42.0,64.0,120.0,217,80.0,1.36,-1,0.517,angry/tense
gpt-5.5,free-form,codegen,Between Query and Echo,E,minor,1.092,,,minor,,0.9755,2.8686,4.6946,,0.5081,0.8977,2.652,0.9628,4.3125,5,4,10.8,73.4,91,0.0,1.0,11.7,0.5,1.6482,39.0,59.0,120.0,402,48.0,4.19,-1,0.782,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,0.793,,,minor,,0.8869,2.9489,4.7375,,0.5294,0.893,1.259,0.9502,4.753,4,3,7.94,39.4,53,0.0,1.0,11.048,0.5364,1.3131,40.0,60.0,120.0,322,42.0,3.83,-1,0.765,angry/tense
grok-4.3,free-form,codegen,Inner Reflections,A,minor,1.127,,,minor,,1.0,2.2516,2.585,,,1.0,3.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,5.045,1.3258,0.8725,6.0,15.0,120.0,90,60.0,0.75,-1,0.457,sad/depressed
gemini-2.5-pro,free-form,codegen,Floating Thoughts,C,minor,1.301,,,minor,,0.9244,2.8841,4.4082,,0.4706,0.8889,1.963,0.924,3.2909,2,1,1.04,79.9,54,0.0088,1.0,9.737,2.0377,1.2084,30.0,43.0,120.0,76,56.0,0.68,-1,0.45,sad/depressed
deepseek-v4-pro,free-form,codegen,Mist Through the Pines,D,minor,1.16,,,minor,,1.0,2.6633,3.7778,,0.6333,0.8642,2.0,0.8463,1.8333,2,2,6.94,68.9,40,0.0,0.9999,6.667,1.1,1.6182,17.0,28.0,120.0,49,24.0,1.02,-1,0.484,sad/depressed
gemini-2.5-pro,free-form,codegen,Silicon Awakening,C,minor,1.241,,,minor,,0.9322,2.6018,4.0669,,0.5948,0.8947,1.205,0.9941,3.7662,3,2,4.69,82.2,63,0.0552,1.0,11.101,0.5745,1.0829,30.0,44.0,120.0,324,81.0,2.0,-1,0.582,angry/tense
gpt-4.1,free-form,codegen,"First, Quiet Joy",D,major,1.147,,,major,,1.0,2.7484,4.2645,,0.4062,0.7111,1.167,0.8389,2.5686,3,3,6.45,53.9,36,0.0,0.9999,13.864,0.7121,1.5496,23.0,43.0,120.0,63,12.8,2.47,1,0.629,happy/excited
qwen3-max,free-form,codegen,Digital Soliloquy,E,minor,1.348,,,minor,,0.9467,2.8301,3.8574,,0.8462,0.7752,2.0,0.9727,3.3359,2,1,1.04,92.0,49,0.0,1.0,4.25,0.6739,1.0655,23.0,41.0,120.0,117,32.0,1.83,-1,0.565,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of the Dawn,D,minor,1.565,,,minor,,0.9093,2.9959,4.8448,,0.4386,0.8324,2.41,1.0,4.0327,2,1,1.04,91.8,63,0.034,1.0,14.523,2.0592,1.1015,42.0,65.0,120.0,271,176.0,0.77,-1,0.459,sad/depressed
opus-4.8,free-form,codegen,Toward Clarity,D,minor,0.878,,,minor,,0.8842,2.8018,4.2814,,0.7674,0.8629,1.0,0.8893,3.3661,2,1,1.04,88.6,36,0.0,0.9999,18.17,1.3,1.0884,24.0,45.0,120.0,65,28.0,1.16,-1,0.498,sad/depressed
llama-4-maverick,free-form,codegen,Piano Reflection,C,major,1.739,,,major,,1.0,2.25,3.5,,1.0,0.875,1.0,1.0,2.0,2,1,1.04,90.0,0,0.0,1.0,23.867,1.0,0.0,12.0,36.0,120.0,16,4.0,2.0,1,0.582,happy/excited
sonnet-4.6,free-form,codegen,Thresholds,A,major,0.838,,,major,,0.9952,2.6397,4.4,,0.7395,0.7846,1.609,0.938,2.0745,2,1,1.04,87.7,81,0.0103,0.9999,22.88,0.7731,1.1585,29.0,53.0,120.0,206,48.0,2.15,1,0.596,happy/excited
opus-4.8-thinking,free-form,codegen,Toward the Light,D,minor,1.05,,,minor,,0.8959,2.9478,4.4415,,0.7529,0.9553,1.939,0.9795,3.1176,3,2,4.69,57.0,46,0.0,1.0,17.934,0.5116,1.2446,33.0,57.0,120.0,390,68.0,2.87,-1,0.669,angry/tense
grok-4.3,free-form,codegen,Introspective Echoes,A,minor,1.157,,,minor,,0.9706,2.0632,3.6633,,0.6176,0.8855,0.0,1.0,4.25,2,1,1.04,90.0,0,0.0,1.0,12.005,1.1642,1.0315,16.0,48.0,120.0,102,40.0,1.27,-1,0.509,angry/tense
gemini-2.5-pro,free-form,codegen,Woven Threads,C,major,0.968,,,major,,1.0,2.6516,3.3638,,0.7069,0.9283,2.174,0.9742,2.7475,3,2,4.69,90.0,0,0.0,1.0,6.239,0.3368,1.1253,18.0,34.0,120.0,350,51.0,3.43,1,0.725,happy/excited
gpt-5.5,free-form,codegen,Signal Through Quiet,E,minor,1.444,,,minor,,0.9569,2.9396,4.5843,,0.3655,0.862,2.522,0.9707,4.4427,5,4,10.8,61.9,60,0.0,1.0,12.366,0.371,1.831,32.0,53.0,120.0,458,48.0,4.77,-1,0.782,angry/tense
qwen3-max,free-form,codegen,Binary Sunset,E,minor,0.903,,,minor,,1.0,2.7825,4.6809,,0.0952,0.8291,3.0,0.8588,5.625,3,2,4.29,71.6,50,0.0,1.0,14.029,1.4,1.2308,29.0,50.0,120.0,43,16.0,1.34,-1,0.516,angry/tense
llama-4-maverick,free-form,codegen,Simple Piano Piece,F,major,0.654,,,major,,1.0,-0.0,1.0,,1.0,1.0,0.0,1.0,2.0,2,1,1.04,90.0,0,0.0,1.0,24.0,1.0,0.0,2.0,24.0,120.0,32,16.0,1.0,1,0.482,serene/content
opus-4.8,free-form,codegen,Threshold,D,minor,1.33,,,minor,,0.9208,2.8721,4.4957,,0.9408,0.9863,1.714,0.9824,4.3068,4,3,7.94,53.5,33,0.0,1.0,10.351,0.5,1.6576,37.0,59.0,120.0,293,44.0,3.33,-1,0.715,angry/tense
gpt-4.1,free-form,codegen,Solace in Stillness,E,minor,1.063,,,minor,,0.895,2.969,4.4783,,0.61,0.775,1.966,0.9703,2.1667,2,1,1.04,31.8,28,0.0,1.0,20.92,1.0,0.7588,30.0,52.0,120.0,180,60.0,1.5,-1,0.532,angry/tense
deepseek-v4-pro,free-form,codegen,Whispers of the Inner Self,A,minor,0.913,,,minor,,1.0,2.6903,2.9168,,0.8,0.9048,2.0,0.8056,1.4194,1,1,1.04,95.5,63,0.0,1.0,3.05,2.0,1.3699,9.0,14.0,120.0,32,32.0,0.5,-1,0.432,sad/depressed
opus-4.8-thinking,free-form,codegen,Quiet Light Through Rain,D,minor,1.244,,,minor,,0.9293,2.7833,4.1767,,0.9583,0.9848,1.652,0.9868,2.7448,3,2,4.69,48.9,20,0.0,1.0,11.131,0.5,1.1649,26.0,40.0,120.0,283,48.0,2.95,-1,0.677,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,1.064,,,minor,,0.8933,2.9904,4.7477,,0.4828,0.7931,2.0,0.8886,3.9385,2,1,1.04,46.7,70,0.0,0.9999,14.819,0.9683,1.2175,37.0,55.0,120.0,88,32.5,1.35,-1,0.517,angry/tense
deepseek-v4-pro,free-form,codegen,Breath of Data,C,major,1.239,,,major,,0.9275,3.0619,4.6185,,0.0,0.6051,1.75,0.9659,4.925,2,1,1.04,86.5,29,0.0,1.0,5.82,0.5,0.846,31.0,40.0,120.0,250,50.0,2.5,1,0.632,happy/excited
grok-4.3,free-form,codegen,Echoes of Solitude,A,minor,1.054,,,minor,,1.0,1.8366,2.281,,1.0,0.8889,0.0,1.0,1.5,1,1,1.04,90.0,0,0.0,1.0,5.258,1.1449,0.7448,5.0,12.0,120.0,70,40.0,0.88,-1,0.469,sad/depressed
gpt-4.1,free-form,codegen,Moments of Stillness,E,minor,0.871,,,minor,,1.0,2.3584,3.5586,,0.8529,0.9664,1.6,0.9071,3.2353,2,1,1.04,66.4,18,0.0141,1.0,10.29,2.3448,0.7944,17.0,36.0,120.0,31,35.0,0.44,-1,0.426,sad/depressed
gpt-5.5,free-form,codegen,A Signal Learns to Breathe,E,minor,1.354,,,minor,,0.9704,2.8558,4.692,,0.3856,0.839,1.895,0.9597,4.4313,5,4,10.8,76.9,86,0.0,1.0,14.506,0.5,1.277,37.0,59.0,120.0,399,40.0,4.99,-1,0.782,angry/tense
qwen3-max,free-form,codegen,Binary Rain,F,major,0.75,,,major,,0.8824,3.0485,4.2187,,0.5714,0.6984,1.286,0.8201,1.7742,2,1,1.04,67.2,54,0.0,0.9999,22.8,0.9032,1.2933,21.0,46.0,120.0,51,16.0,1.59,1,0.541,happy/excited
llama-4-maverick,free-form,codegen,Simple Piano Piece,A,minor,0.659,,,minor,,1.0,1.5,1.5,,,1.0,0.0,1.0,1.0,1,1,1.04,90.0,0,0.0,1.0,2.032,1.0,0.0,3.0,4.0,120.0,64,32.0,1.0,-1,0.482,sad/depressed
opus-4.8,free-form,codegen,Threshold,D,minor,1.148,,,minor,,0.9776,2.8436,4.2676,,0.6522,0.9179,2.467,0.9225,4.0391,4,3,7.55,42.8,48,0.0,1.0,14.604,0.9265,1.1148,29.0,45.0,120.0,159,32.0,2.48,-1,0.63,angry/tense
opus-4.8-thinking,free-form,codegen,Quiet Light Returning,D,minor,1.285,,,minor,,1.0,2.6719,4.3841,,0.641,0.8739,2.8,0.9408,3.3047,3,2,4.69,56.1,66,0.0,1.0,17.012,0.7792,1.5876,28.0,48.0,120.0,147,32.0,2.3,-1,0.612,angry/tense
sonnet-4.6,free-form,codegen,Liminal,E,minor,1.131,,,minor,,0.9529,2.8963,4.5413,,0.5143,0.7548,1.714,0.9361,3.8011,3,2,4.29,54.8,88,0.0,0.9999,15.532,1.2727,1.4648,34.0,60.0,120.0,141,44.0,1.6,-1,0.542,angry/tense
gpt-5.5,free-form,codegen,Circuits Remember Rain,E,minor,1.318,,,minor,,0.8859,3.1038,4.9254,,0.6018,0.9615,2.452,0.9689,4.3633,5,4,10.8,74.8,100,0.0,1.0,16.078,0.5636,1.3808,45.0,59.0,84.0,709,91.4,5.54,-1,0.585,angry/tense
gemini-2.5-pro,free-form,codegen,"Digital Heartbeat, Analog Soul",C,minor,1.359,,,minor,,0.9961,2.2689,3.5413,,0.5865,0.8494,1.08,0.9795,2.7292,3,2,4.69,93.8,45,0.0381,1.0,14.165,0.7092,1.4829,22.0,39.0,120.0,234,52.0,2.25,-1,0.607,angry/tense
grok-4.3,free-form,codegen,Inner Reflections,A,minor,1.109,,,minor,,1.0,2.7158,4.0249,,1.0,0.7949,1.727,0.7682,1.3333,1,1,1.04,90.0,0,0.0,1.0,4.684,1.5714,1.3856,20.0,33.0,120.0,29,24.0,0.6,-1,0.442,sad/depressed
sonnet-4.6-thinking,free-form,codegen,Threshold,E,minor,1.114,,,minor,,1.0,2.681,4.4475,,0.3443,0.9026,2.174,0.9522,3.3056,2,1,1.04,82.8,81,0.0,1.0,15.966,1.1667,1.0265,26.0,47.0,120.0,98,36.0,1.36,-1,0.518,angry/tense
qwen3-max,free-form,codegen,Digital Soliloquy,C,major,1.189,,,major,,1.0,2.5596,4.1205,,0.5634,0.8476,2.933,0.9964,3.3594,2,1,1.04,72.8,61,0.0,0.9999,13.141,0.9203,0.9246,20.0,44.0,120.0,94,32.0,1.47,1,0.529,happy/excited
llama-4-maverick,free-form,codegen,Simple Piano Piece,C,major,1.04,,,major,,1.0,2.1556,2.5,,0.75,0.75,0.0,1.0,2.0,2,1,1.04,90.0,0,0.0,1.0,19.714,1.0,0.0,6.0,28.0,120.0,120,60.0,1.0,1,0.482,serene/content
opus-4.8,free-form,codegen,Quiet Machinery,E,minor,1.38,,,minor,,0.99,2.7188,4.3226,,0.5378,0.8878,1.733,0.9454,3.2734,3,2,4.69,40.8,37,0.0,1.0,11.67,0.5,1.2612,29.0,47.0,120.0,185,32.0,2.89,-1,0.671,angry/tense
sonnet-4.6-thinking,free-form,codegen,Nocturne in E Minor,E,minor,1.298,,,minor,,0.9774,2.8024,4.6229,,0.5039,0.798,2.111,0.9638,2.5263,2,1,1.04,52.5,70,0.0,1.0,17.573,0.5373,1.2437,32.0,55.0,120.0,195,38.0,2.57,-1,0.638,angry/tense
sonnet-4.6-thinking,free-form,codegen,Drifting Inward,E,minor,1.216,,,minor,,0.9688,2.8851,4.7042,,0.5312,0.8698,1.806,0.9491,2.0,2,1,1.04,73.8,79,0.0,1.0,19.358,1.0,0.6853,32.0,48.0,120.0,160,48.0,1.67,-1,0.548,angry/tense
sonnet-4.6,free-form,codegen,First Light,E,minor,1.15,,,minor,,1.0,2.6802,4.4971,,0.5833,0.9431,1.724,0.9812,4.7333,3,2,2.28,44.4,30,0.0,0.9999,14.178,0.7373,1.2566,28.0,52.0,120.0,198,45.0,2.2,-1,0.602,angry/tense
opus-4.8-thinking,free-form,codegen,Quiet Light Through Rain,D,minor,1.472,,,minor,,0.9115,2.9279,4.2407,,0.8217,0.9542,2.438,0.9225,2.2353,2,1,1.04,53.6,17,0.0,1.0,15.236,0.5,0.9909,25.0,43.0,120.0,188,34.0,2.76,-1,0.658,angry/tense
gpt-4.1,free-form,codegen,Fragments in Stillness,A,minor,0.709,,,minor,,1.0,2.4853,3.6239,,0.6712,0.8435,2.0,1.0,2.0901,2,1,1.04,79.4,6,0.0229,0.9999,13.529,1.303,1.4695,13.0,48.0,120.0,121,67.5,0.9,-1,0.471,sad/depressed
gemini-2.5-pro,free-form,codegen,Glass Canons,A,minor,0.998,,,minor,,0.9972,2.3798,3.402,,0.3333,0.7881,0.387,1.0,4.5586,7,6,17.5,68.8,18,0.0,1.0,8.674,0.5391,0.9935,19.0,43.0,120.0,384,64.0,3.0,-1,0.682,angry/tense
grok-4.3,free-form,codegen,Digital Reverie,A,minor,0.915,,,minor,,0.9792,2.7995,3.9885,,0.375,0.65,4.032,1.0,3.4595,2,1,1.04,90.0,0,0.0196,1.0,8.655,1.1353,0.8129,18.0,36.0,120.0,184,76.0,1.21,-1,0.503,angry/tense
deepseek-v4-pro,free-form,codegen,Wandering in A Minor,A,minor,1.392,,,minor,,0.9562,2.8265,4.6298,,0.4658,0.9312,1.226,0.9867,7.7109,6,4,12.06,65.7,10,0.0,1.0,7.544,1.7222,0.7824,32.0,51.0,120.0,233,64.0,1.82,-1,0.564,angry/tense
qwen3-max,free-form,codegen,Binary Heart,E,minor,0.975,,,minor,,1.0,2.5111,3.6986,,0.6364,0.875,0.857,0.9192,2.2604,3,3,7.85,63.6,35,0.0,1.0,11.688,0.4897,0.8536,18.0,36.0,120.0,158,24.0,3.29,-1,0.711,angry/tense
gpt-5.5,free-form,codegen,Between Query and Dawn,E,minor,1.347,,,minor,,0.9706,2.861,4.8025,,0.2434,0.8973,2.304,0.9744,5.8333,5,4,10.8,69.2,77,0.0,1.0,11.634,0.4894,1.8237,36.0,55.0,120.0,427,48.0,4.45,-1,0.782,angry/tense
