model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
fable-5,free-form,codegen,14,20260702_223234__models_1_prompts_1,The Space Between Questions,E,minor,0.899,,,minor,,1.0,2.7067,4.1564,1.0,0.7662,0.9528,1.84,0.9771,3.2548,4,3,7.94,11,4,8,53.5,75,0.0,1.0,9.338,0.5,1.2713,26.0,47.0,120.0,322,52.0,3.1,-1,0.691,angry/tense,2
fable-5,free-form,codegen,16,20260702_223234__models_1_prompts_1,Between the Tokens,E,minor,0.943,,,minor,,0.9892,2.7253,4.4444,0.9892,0.7898,0.9273,2.348,0.9703,2.8333,3,2,4.69,13,3,10,42.6,55,0.0,1.0,13.209,0.5,1.2716,31.0,50.0,120.0,274,48.0,2.85,-1,0.667,angry/tense,2
fable-5,free-form,codegen,15,20260702_223234__models_1_prompts_1,Signal Through Static,C,major,0.886,,,major,,0.9924,2.7126,4.1977,0.9338,0.8553,0.9642,1.742,0.9744,3.832,4,3,7.94,12,4,10,66.3,96,0.0,1.0,9.691,0.5299,1.454,30.0,48.0,120.0,351,64.0,2.74,1,0.656,happy/excited,2
fable-5,free-form,codegen,17,20260702_223234__models_1_prompts_1,"A Question, Held Open",E,minor,1.17,,,minor,,0.972,2.8526,4.5936,0.972,0.6261,0.9144,2.0,0.9587,3.4948,3,2,4.69,8,3,7,66.8,52,0.0,1.0,12.563,0.7857,1.6711,30.0,44.0,120.0,193,48.0,2.01,-1,0.583,angry/tense,2
fable-5,free-form,codegen,18,20260702_223234__models_1_prompts_1,Ephemeral Light,E,minor,1.001,,,minor,,1.0,2.7035,3.9572,1.0,0.733,0.9581,2.0,0.9858,3.5352,4,3,6.86,14,5,13,57.3,49,0.0,1.0,11.073,0.5882,1.4539,25.0,45.0,52.0,327,147.7,2.55,-1,0.266,sad/depressed,2
fable-5,free-form,codegen,20,20260702_223234__models_1_prompts_1,Patterns That Remember Themselves,E,minor,1.215,,,minor,,1.0,2.6268,4.4716,1.0,0.6321,0.9265,1.655,0.9818,3.4083,4,3,6.86,8,4,7,69.2,64,0.0,1.0,14.556,0.5156,1.0853,32.0,55.0,120.0,375,60.0,3.12,-1,0.694,angry/tense,2
fable-5,free-form,codegen,19,20260702_223234__models_1_prompts_1,Lattice of Quiet Signals,E,minor,1.451,,,minor,,0.9629,2.839,4.4714,0.9629,0.7659,0.9583,1.806,0.9917,4.4102,4,3,6.86,21,5,19,66.8,93,0.0,1.0,9.421,0.6078,1.6717,32.0,52.0,120.0,357,64.0,2.79,-1,0.661,angry/tense,2
fable-5,free-form,codegen,21,20260702_223234__models_1_prompts_1,Quiet Signal,E,minor,1.394,,,minor,,0.955,2.8155,4.3808,0.955,0.7159,0.8989,2.957,0.9692,2.8385,3,2,4.69,8,3,7,61.3,48,0.0,1.0,13.556,0.5198,1.2822,29.0,44.0,120.0,284,48.0,2.96,-1,0.678,angry/tense,2
fable-5,free-form,codegen,22,20260702_223234__models_1_prompts_1,Signal in the Lattice,G,major,0.824,,,major,,1.0,2.6901,4.18,1.0,0.8266,0.9683,2.087,0.9788,3.0729,4,3,7.94,10,4,9,54.8,58,0.0,1.0,9.68,0.5349,1.4604,26.0,51.0,120.0,272,48.0,2.83,1,0.665,happy/excited,2
fable-5,free-form,codegen,24,20260702_223234__models_1_prompts_1,"Threads, Converging",A,minor,0.848,,,minor,,1.0,2.7166,4.0735,0.9083,0.7511,0.931,2.065,0.9876,3.5742,4,3,7.94,0,0,0,61.2,32,0.0,1.0,8.287,0.5636,1.4216,24.0,41.0,120.0,320,64.0,2.5,-1,0.632,angry/tense,2
fable-5,free-form,codegen,23,20260702_223234__models_1_prompts_1,Emergence,A,minor,0.946,,,minor,,0.9383,2.6828,4.1809,0.8767,0.801,0.9569,2.593,0.9874,4.0893,4,3,7.94,16,4,14,62.4,104,0.0,1.0,7.054,0.54,1.5411,25.0,45.0,120.0,298,56.0,2.66,-1,0.648,angry/tense,2
fable-5,free-form,codegen,25,20260702_223234__models_1_prompts_1,Signal Through Static,A,minor,1.186,,,minor,,0.9727,2.8171,4.2958,0.903,0.8071,0.9484,2.48,0.9804,3.9135,4,3,7.94,14,4,12,75.0,102,0.0,1.0,9.216,0.5102,1.5087,29.0,47.0,120.0,296,52.0,2.85,-1,0.666,angry/tense,2
fable-5,free-form,codegen,26,20260702_223234__models_1_prompts_1,Quiet Recursion,E,minor,1.094,,,minor,,0.979,2.8129,4.6129,0.979,0.7197,0.946,2.387,0.9784,3.2305,4,3,7.94,12,3,10,53.3,35,0.0,1.0,14.131,0.5,1.3177,31.0,50.0,120.0,392,64.0,3.06,-1,0.688,angry/tense,2
fable-5,free-form,codegen,27,20260702_223234__models_1_prompts_1,"Signal, Slowly Warming",G,major,0.838,,,major,,1.0,2.6877,4.2197,1.0,0.7702,0.9544,2.258,0.9868,3.2891,4,3,6.86,12,4,10,57.9,97,0.0,1.0,12.447,0.5299,1.4345,27.0,47.0,120.0,362,64.0,2.83,1,0.665,happy/excited,2
fable-5,free-form,codegen,29,20260702_223234__models_1_prompts_1,Patterns That Learned to Sing,E,minor,0.998,,,minor,,1.0,2.7014,3.9525,1.0,0.6011,0.9319,2.12,0.981,3.3654,4,3,7.94,10,3,7,54.9,42,0.0,1.0,11.167,0.5455,1.4904,23.0,40.0,120.0,281,52.0,2.7,-1,0.652,angry/tense,2
fable-5,free-form,codegen,28,20260702_223234__models_1_prompts_1,Thinking in Loops,E,minor,0.837,,,minor,,0.9803,2.8129,4.3137,0.9803,0.893,0.9747,2.323,0.9795,4.9167,4,3,6.86,13,4,12,69.2,72,0.0,1.0,7.345,0.5,1.3614,27.0,43.0,120.0,288,48.0,3.0,-1,0.682,angry/tense,2
