model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
opus-4.8,postmodern,smt-abc,Notes Toward a Self I Cannot Hold,C,major,1.138,C,major,major,1,1.0,2.6326,4.3372,,0.6098,0.8819,2.133,0.9562,2.4514,4,0.0462,0.9988,15.897,0.9531,1.0857,25.0,48.0,72.0,113,53.3,1.77,1,0.297,serene/content
sonnet-4.6,free-form,smt-abc,Liminal,D,minor,1.293,D,minor,minor,1,1.0,2.7215,3.6233,,0.3462,0.7109,1.643,0.9855,2.9879,4,0.0,0.9999,6.935,1.0,0.2922,17.0,29.0,58.0,277,90.0,3.18,-1,0.362,sad/depressed
sonnet-4.6,piano-piece,smt-abc,Drift and Return,G,major,0.843,D,major,major,1,0.9924,2.7075,3.9142,,0.5848,0.8168,1.898,0.966,1.9243,2,0.0,0.9993,10.446,0.8235,1.0874,21.0,35.0,72.0,396,166.7,1.98,1,0.318,serene/content
sonnet-4.6,harp-piece,smt-abc,"Still Water, Moving",E-,major,1.202,E-,major,major,1,1.0,2.5316,3.7236,,0.688,0.9399,2.238,0.976,2.8429,2,0.0,0.9924,8.497,0.4069,0.9972,19.0,33.0,156.0,197,51.9,1.46,1,0.724,happy/excited
sonnet-4.6,western-harmony,smt-abc,Emergence,E,minor,1.144,E,minor,minor,1,0.9283,3.0167,4.4257,,0.3913,0.89,2.457,0.9765,4.8428,4,0.0,0.9961,8.044,0.4007,1.4501,30.0,38.0,240.0,344,27.0,3.19,-1,0.919,angry/tense
sonnet-4.6,fugue,smt-abc,Untitled,A,major,0.654,D,minor,minor,0,1.0,-0.0,-0.0,,,1.0,,,1.0,1,0.0,,,,,1.0,0.0,72.0,1,3.3,0.25,-1,0.145,sad/depressed
sonnet-4.6,stab-voicing,smt-abc,Still Water,D,minor,1.126,D,minor,minor,1,1.0,2.7147,3.78,,0.6286,0.7163,1.368,0.9832,3.8202,4,0.0,0.9995,11.664,2.0571,0.9197,17.0,31.0,58.0,130,82.8,1.62,-1,0.206,sad/depressed
sonnet-4.6,string-quartet,smt-abc,Fragments of Attention,D,minor,1.6,D,minor,minor,1,0.8794,2.9154,4.0655,,0.4444,0.6776,1.222,0.9322,3.6697,4,0.0,0.9993,8.338,1.2857,0.8378,23.0,32.0,52.0,199,87.7,2.62,-1,0.273,sad/depressed
sonnet-4.6,orchestral,smt-abc,Emergence,D,minor,1.216,D,minor,minor,1,1.0,2.6935,4.1975,,0.1732,0.6916,1.273,0.998,5.5844,13,0.0132,0.9999,6.536,1.0963,0.8448,27.0,45.0,72.0,908,126.7,5.97,-1,0.52,angry/tense
sonnet-4.6,melody-accomp,smt-abc,Afternoon Window,A,minor,1.394,A,minor,minor,1,0.9043,2.6972,3.6348,,0.6061,0.9383,2.182,0.9655,2.2923,2,0.0,0.9972,10.989,0.7502,1.0603,18.0,27.0,60.0,122,102.0,1.2,-1,0.174,sad/depressed
sonnet-4.6,modern,smt-abc,Liminal,C,major,0.931,C,major,major,1,1.0,2.8031,4.0457,,0.0806,0.7759,1.0,0.9974,3.8188,4,0.0315,0.9998,7.509,1.9016,1.6916,18.0,29.0,52.0,172,147.7,1.34,1,0.145,serene/content
sonnet-4.6,postmodern,smt-abc,Channel Surfing (for Four Voices and No Remote),C,major,1.399,C,major,major,1,1.0,2.7505,4.1601,,0.5506,0.7683,2.129,0.9773,3.6817,4,0.0,0.9992,9.25,1.3191,1.1356,21.0,35.0,92.0,267,83.5,2.09,1,0.438,serene/content
gpt-5.5,free-form,smt-abc,Lanterns in a Thinking Room,D,minor,1.388,D,minor,minor,1,1.0,2.7061,4.2356,,0.4054,0.6792,1.684,0.9687,3.9614,4,0.0,0.9997,11.971,1.0411,0.3707,24.0,41.0,72.0,278,66.7,3.48,-1,0.468,sad/depressed
gpt-5.5,piano-piece,smt-abc,Inner Light at the Terminal,A,minor,1.368,A,minor,minor,1,0.9741,2.8038,4.3892,,0.562,0.7899,2.174,0.9295,2.5108,2,0.0105,0.9992,19.851,0.5057,1.4545,27.0,48.0,72.0,232,80.0,2.42,-1,0.362,sad/depressed
gpt-5.5,harp-piece,smt-abc,Pedals of Becoming,D,minor,1.519,D,minor,minor,1,0.8752,3.0696,4.9356,,0.8306,0.9427,2.129,0.9793,2.1161,2,0.0,0.9997,18.847,0.4982,0.0286,41.0,55.0,72.0,499,106.7,3.9,-1,0.51,angry/tense
gpt-5.5,western-harmony,smt-abc,Quiet Circuitry at Dawn,D,minor,1.375,D,minor,minor,1,0.9293,3.0084,4.7739,,0.4286,0.8727,2.435,0.966,3.7865,4,0.0,0.9998,14.24,0.6835,1.1133,41.0,56.0,72.0,410,80.0,4.27,-1,0.52,angry/tense
gpt-5.5,fugue,smt-abc,Fugue of Returning Light,D,minor,1.416,D,minor,minor,1,0.9788,2.8689,4.6585,,0.3571,0.6505,1.043,0.9544,2.661,3,0.0,0.999,14.766,0.5629,0.9522,38.0,53.0,80.0,377,72.0,3.93,-1,0.556,angry/tense
gpt-5.5,stab-voicing,smt-abc,Gradient of a Thinking Voice,D,minor,1.423,D,minor,minor,1,0.977,2.8506,4.5242,,0.4898,0.7672,1.737,0.9467,3.8365,4,0.0,0.9995,13.642,1.5833,0.8736,31.0,48.0,72.0,174,66.7,2.17,-1,0.338,sad/depressed
gpt-5.5,string-quartet,smt-abc,A Quiet Recursion,D,minor,1.384,D,minor,minor,1,0.957,2.8544,4.5595,,0.4458,0.7173,1.739,0.935,3.8835,4,0.0,0.9995,12.219,1.122,0.6846,32.0,44.0,72.0,302,80.0,3.15,-1,0.435,sad/depressed
gpt-5.5,orchestral,smt-abc,Mirror Engine at Dawn,D,minor,1.448,D,minor,minor,1,0.9085,3.026,4.9876,,0.2321,0.7619,2.0,0.9737,8.0722,13,0.0,0.9998,6.566,1.0909,0.9868,45.0,57.0,60.0,503,64.0,7.86,-1,0.455,sad/depressed
gpt-5.5,melody-accomp,smt-abc,Signal in the Quiet,D,minor,1.487,D,minor,minor,1,0.9466,2.8668,4.125,,0.543,0.9138,2.217,0.9742,3.3973,4,0.0,0.9998,7.219,0.5081,1.2852,27.0,41.0,84.0,412,68.6,4.29,-1,0.585,angry/tense
gpt-5.5,modern,smt-abc,Between Signal and Silence,A,minor,0.727,,,minor,,0.8551,3.1054,4.8164,,0.1739,0.6221,2.174,0.9168,3.9688,4,0.0,0.9989,23.273,0.7667,1.1023,45.0,68.0,60.0,327,96.0,3.41,-1,0.395,sad/depressed
gpt-5.5,postmodern,smt-abc,Mirror with Missing Pixels,C,major,0.817,C,major,major,1,0.9073,3.1027,4.6136,,0.2353,0.6311,2.316,0.9326,4.302,4,0.0,0.9973,14.428,0.3747,1.7488,35.0,48.0,80.0,253,60.0,3.16,1,0.48,serene/content
gpt-4.1,free-form,smt-abc,Reflections at Dawn,E-,major,1.156,E-,major,major,1,1.0,2.4506,3.7784,,0.5568,0.818,1.265,0.9609,1.7,2,0.0,0.9985,13.264,0.6607,0.7603,20.0,36.0,70.0,311,130.3,2.05,1,0.314,serene/content
gpt-4.1,piano-piece,smt-abc,Reflections at Dusk,F,major,1.048,F,major,major,1,1.0,2.4147,3.4763,,0.7273,0.7685,1.87,0.9514,1.6285,2,0.0102,0.9987,14.9,0.8807,0.7823,15.0,35.0,70.0,153,85.7,1.53,1,0.262,serene/content
gpt-4.1,harp-piece,smt-abc,Refractions,D,major,1.413,D,major,major,1,1.0,2.5539,3.6049,,0.6951,0.7892,1.789,0.9347,1.9636,2,0.0,0.9992,23.946,0.6867,0.422,16.0,37.0,72.0,122,50.0,2.03,1,0.323,serene/content
gpt-4.1,western-harmony,smt-abc,Refractions of Stillness,C,major,1.489,C,major,major,1,0.9878,2.616,3.8217,,0.5588,0.9756,2.391,0.9562,1.7021,2,0.0103,0.9999,10.469,2.0,0.1202,18.0,33.0,65.0,82,88.6,0.85,1,0.167,serene/content
gpt-4.1,fugue,smt-abc,Threefold Reflection,D,minor,1.486,D,minor,minor,1,1.0,2.573,3.5999,,0.6818,0.7814,1.538,0.9973,1.8171,3,0.0093,0.9998,6.392,1.04,0.591,18.0,31.0,90.0,200,72.0,1.85,-1,0.403,sad/depressed
gpt-4.1,stab-voicing,smt-abc,Fragments of Light and Shadow,C,minor,1.517,C,minor,minor,1,0.9831,2.7217,3.3506,,0.4516,0.7565,0.941,0.9753,3.7585,4,0.1096,0.9996,6.094,2.2667,0.1854,14.0,24.0,66.0,118,65.5,1.64,-1,0.251,sad/depressed
gpt-4.1,string-quartet,smt-abc,Unfolding Light,D,minor,1.525,D,minor,minor,1,0.9868,2.5079,3.7534,,0.4286,0.7616,2.0,0.9164,3.3398,4,0.0,0.9997,8.742,1.0455,0.5326,19.0,31.0,60.0,152,48.0,3.17,-1,0.371,sad/depressed
gpt-4.1,orchestral,smt-abc,Unveiling Light,D,major,1.236,D,major,major,1,0.9536,2.5538,4.0351,,0.1395,0.7731,0.769,0.9793,5.5338,7,0.0,0.9991,7.663,1.3333,0.6269,25.0,38.0,80.0,194,45.0,3.23,1,0.487,serene/content
gpt-4.1,melody-accomp,smt-abc,Reflections in Dusk,D,minor,1.194,D,minor,minor,1,1.0,2.2888,3.3108,,0.6698,0.8559,1.48,0.977,1.7605,2,0.0,0.9985,8.84,0.856,0.9166,14.0,36.0,60.0,170,108.0,1.57,-1,0.212,sad/depressed
gpt-4.1,modern,smt-abc,Memory in Fragments,E-,major,1.087,C,minor,minor,0,1.0,2.776,4.323,,0.3047,0.7306,2.37,0.9683,1.9884,4,0.0744,0.9984,8.046,0.7966,0.6448,31.0,55.0,60.0,213,124.0,1.72,-1,0.226,sad/depressed
gpt-4.1,postmodern,smt-abc,Fragments of Dawn,C,major,1.48,C,major,major,1,0.9913,2.6841,3.6846,,0.6512,0.8976,1.692,0.978,2.235,4,0.0175,0.9995,8.825,1.0185,0.556,16.0,35.0,65.0,116,51.7,2.07,1,0.289,serene/content
