model,prompt,mode,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.311,D,minor,minor,1,1.0,2.4983,4.0677,,0.6413,0.8261,1.478,0.9518,2.6863,3,2,2.86,0,0,0,92.2,25,0.0,0.9997,14.79,1.0,1.0139,25.0,44.0,92.0,211,62.6,2.2,-1,0.449,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.118,D,minor,minor,1,1.0,2.7113,4.2544,,0.7258,0.7337,1.368,0.9224,2.923,3,2,2.86,0,0,0,91.9,25,0.0,0.9991,15.914,1.2459,0.5008,25.0,43.0,92.0,186,52.2,2.33,-1,0.462,sad/depressed
opus-4.8,free-form,abc,Threads of an Unfolding Mind,D,minor,1.22,D,minor,minor,1,1.0,2.6381,4.1197,,0.6512,0.7695,1.565,0.9361,2.9781,3,1,1.04,0,0,0,92.7,25,0.0,0.9995,14.127,1.0952,0.8457,24.0,39.0,92.0,225,62.6,2.34,-1,0.463,sad/depressed
opus-4.8,free-form,abc,Threads of an Unspooling Mind,D,minor,1.427,D,minor,minor,1,1.0,2.4523,4.0795,,0.6329,0.8471,1.478,0.9666,2.8322,3,2,2.86,0,0,0,92.4,25,0.0,0.9992,15.356,1.1358,0.8611,23.0,49.0,92.0,209,62.6,2.18,-1,0.447,sad/depressed
opus-4.8,free-form,abc,Threads of a Quiet Mind,D,minor,1.296,D,minor,minor,1,1.0,2.7075,4.1636,,0.6635,0.8638,2.516,0.9485,1.9585,2,1,1.04,0,0,0,94.6,25,0.0078,0.9993,18.038,1.1698,1.1553,22.0,41.0,84.0,161,91.4,1.26,-1,0.311,sad/depressed
opus-4.8,free-form,abc,Threads of an Unfolding Mind,D,minor,1.048,D,minor,minor,1,1.0,2.6093,4.4388,,0.6889,0.7719,1.593,0.9577,2.9345,3,2,2.86,0,0,0,94.1,25,0.0,0.9995,18.041,1.2135,1.009,26.0,49.0,92.0,220,73.0,1.96,-1,0.426,sad/depressed
opus-4.8,free-form,abc,Tide of Thought,D,minor,1.523,D,minor,minor,1,1.0,2.6396,4.3575,,0.7925,0.8864,1.862,0.9418,1.9245,2,1,1.04,0,0,0,91.7,25,0.0,0.9998,14.458,1.0265,0.7682,26.0,48.0,84.0,193,85.7,1.61,-1,0.346,sad/depressed
opus-4.8,free-form,abc,Threads of Becoming,D,minor,1.486,D,minor,minor,1,1.0,2.5073,4.15,,0.7368,0.8934,1.484,0.9424,1.9447,2,1,1.04,0,0,0,95.4,25,0.0,0.9993,22.237,1.2653,1.1664,25.0,51.0,76.0,153,101.1,1.2,-1,0.261,sad/depressed
opus-4.8,free-form,abc,Threads of an Unfolding Mind,D,minor,1.415,D,minor,minor,1,1.0,2.4892,3.87,,0.6667,0.8333,1.826,0.96,2.9359,3,1,1.04,0,0,0,93.7,25,0.0,0.9993,12.563,1.175,0.9831,22.0,46.0,92.0,200,62.6,2.08,-1,0.437,sad/depressed
opus-4.8,free-form,abc,Threads of Becoming,D,minor,1.486,D,minor,minor,1,0.9855,2.6172,4.0102,,0.6709,0.8245,2.083,0.9458,2.8189,3,2,2.86,0,0,0,92.8,25,0.0,0.9994,12.243,1.1707,0.8638,23.0,41.0,88.0,207,68.2,2.07,-1,0.414,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.47,D,minor,minor,1,0.9677,2.8214,4.3813,,0.6981,0.8597,2.207,0.9309,1.9244,2,1,1.04,0,0,0,91.8,25,0.0,0.9998,18.541,1.045,0.8147,27.0,44.0,92.0,186,78.3,1.55,-1,0.384,sad/depressed
opus-4.8,free-form,abc,Threads of a Quiet Mind,D,major,1.547,D,major,major,1,1.0,2.5498,4.0484,,0.7529,0.8772,1.391,0.9354,1.9887,2,1,1.04,0,0,0,94.4,25,0.0,0.9994,17.892,1.119,1.0796,23.0,45.0,72.0,131,80.0,1.36,1,0.256,serene/content
opus-4.8,free-form,abc,Threads of an Unfolding Mind,D,major,1.37,D,major,major,1,1.0,2.5882,4.3262,,0.7113,0.9249,1.36,0.9728,2.4462,3,2,2.86,0,0,0,90.9,25,0.0,0.9998,14.612,0.9901,0.394,25.0,48.0,92.0,246,67.8,2.37,1,0.466,serene/content
opus-4.8,free-form,abc,Recursion at Dusk,D,minor,1.407,D,minor,minor,1,1.0,2.4872,3.8407,,0.8152,0.828,1.391,0.9386,1.9782,2,2,2.86,0,0,0,91.3,25,0.0,0.9995,15.503,1.011,0.847,19.0,33.0,84.0,162,68.6,1.69,-1,0.354,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.413,D,minor,minor,1,1.0,2.6644,4.3035,,0.5789,0.8217,1.095,0.947,2.8834,3,2,2.86,0,0,0,93.2,25,0.0,0.9994,11.96,1.0811,1.0491,25.0,51.0,92.0,180,57.4,2.05,-1,0.434,sad/depressed
opus-4.8,free-form,abc,Threads of Thought,D,minor,1.496,D,minor,minor,1,0.9503,2.6695,4.1133,,0.8438,0.9036,1.481,0.9197,1.9547,2,1,1.04,0,0,0,91.4,25,0.0,0.9994,16.5,1.0909,0.896,24.0,36.0,92.0,181,73.0,1.62,-1,0.391,sad/depressed
opus-4.8,free-form,abc,Threads of an Unfolding Mind,D,minor,1.279,D,minor,minor,1,1.0,2.5206,4.036,,0.6829,0.8725,2.0,0.9605,2.8416,3,2,2.86,0,0,0,93.4,25,0.0095,0.9993,14.468,1.1905,0.9937,26.0,50.0,92.0,206,67.8,1.98,-1,0.427,sad/depressed
opus-4.8,free-form,abc,Threads of Quiet Reasoning,D,major,1.437,D,major,major,1,1.0,2.564,4.141,,0.8571,0.8452,2.0,0.9272,2.0,2,1,1.04,0,0,0,91.1,25,0.0,0.9995,17.856,1.1084,0.3029,23.0,38.0,84.0,168,68.6,1.75,1,0.36,serene/content
opus-4.8,free-form,abc,Threads of an Inner Dialogue,D,minor,1.514,D,minor,minor,1,1.0,2.5951,4.3981,,0.6154,0.8257,1.609,0.9484,2.8213,3,2,2.86,0,0,0,92.8,25,0.0,0.9995,15.579,1.1139,0.8741,28.0,49.0,72.0,194,80.0,2.02,-1,0.322,sad/depressed
opus-4.8,free-form,abc,Threads of Becoming,D,minor,1.226,D,minor,minor,1,0.9824,2.7492,4.4079,,0.6916,0.8571,2.387,0.9172,1.8976,2,1,1.04,0,0,0,94.0,25,0.0,0.9994,17.183,1.0783,1.0404,29.0,51.0,92.0,170,83.5,1.33,-1,0.362,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Resolve,D,minor,1.295,D,minor,minor,1,1.0,2.6313,4.1838,,0.7407,0.8772,1.957,0.9567,1.906,2,2,2.86,0,0,0,91.3,25,0.0,0.9997,13.287,1.0455,0.552,21.0,37.0,72.0,161,80.0,1.68,-1,0.288,sad/depressed
opus-4.8-thinking,free-form,abc,Patterns in the Quiet,D,minor,1.36,D,minor,minor,1,0.9915,2.5985,4.1542,,0.6931,0.9094,1.48,0.9713,2.9502,3,2,2.86,0,0,0,92.9,25,0.0,0.9999,15.526,1.0,0.918,23.0,39.0,72.0,235,86.7,2.26,-1,0.346,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Emergence,D,minor,1.511,D,minor,minor,1,0.9361,2.7262,4.2092,,0.7358,0.8647,2.444,0.9432,2.0329,2,1,1.04,0,0,0,87.1,25,0.0,0.9998,12.878,0.4956,0.8531,29.0,45.0,70.0,309,96.0,2.76,-1,0.385,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Persistence,D,minor,1.315,D,minor,minor,1,1.0,2.4046,3.5499,,0.6923,0.9101,1.593,0.9603,1.9367,2,2,2.86,0,0,0,95.1,25,0.0,0.9992,18.058,1.2,1.1959,15.0,38.0,92.0,140,73.0,1.25,-1,0.354,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Light Returning,D,minor,1.422,D,minor,minor,1,0.9167,2.9325,4.1135,,0.7,0.8361,1.484,0.9668,2.9354,3,2,2.86,0,0,0,92.5,25,0.0,0.9986,10.723,1.1772,0.9685,24.0,38.0,90.0,192,64.0,2.0,-1,0.418,sad/depressed
opus-4.8-thinking,free-form,abc,Distances,D,minor,1.55,D,minor,minor,1,0.9121,2.681,3.7865,,0.7579,0.8299,1.222,0.9745,2.9448,3,2,2.86,0,0,0,93.5,25,0.0,0.9994,13.798,1.1489,0.9478,18.0,39.0,84.0,239,80.0,2.13,-1,0.399,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Light Returning,D,minor,1.429,D,minor,minor,1,1.0,2.6678,3.9852,,0.7895,0.8974,1.261,0.9577,1.9576,2,1,1.04,0,0,0,92.7,25,0.0,0.9992,16.27,1.2267,0.7775,19.0,33.0,80.0,142,72.0,1.48,-1,0.312,sad/depressed
opus-4.8-thinking,free-form,abc,Reaching Toward Light,D,minor,1.409,D,minor,minor,1,1.0,2.5692,3.9786,,0.8072,0.9181,2.121,0.9885,1.9485,2,2,2.86,0,0,0,91.6,25,0.0,0.9994,18.014,1.1379,0.8991,21.0,37.0,92.0,146,66.5,1.43,-1,0.372,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Emergence,A,minor,1.337,A,minor,minor,1,0.949,2.7328,4.558,,0.7195,0.9146,2.148,0.9603,1.9998,2,2,2.86,0,0,0,88.9,25,0.0,0.9999,27.513,1.0,0.2891,30.0,52.0,72.0,157,70.0,1.87,-1,0.307,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Resolve,D,minor,1.17,D,minor,minor,1,0.9916,2.7581,3.9656,,0.7698,0.8769,1.484,0.9775,1.9994,2,2,2.86,0,0,0,90.4,25,0.0,0.9997,10.424,0.9396,0.5841,21.0,33.0,78.0,237,98.5,1.85,-1,0.338,sad/depressed
opus-4.8-thinking,free-form,abc,Wandering Toward Light,D,minor,1.48,D,minor,minor,1,0.9301,2.7495,4.0024,,0.3571,0.9355,2.087,0.9766,4.7749,3,2,2.86,0,0,0,97.4,25,0.0,0.9994,9.93,0.52,0.9204,22.0,36.0,72.0,178,80.0,1.85,-1,0.305,sad/depressed
opus-4.8-thinking,free-form,abc,Emergence,A,minor,1.294,A,minor,minor,1,1.0,2.6991,3.8623,,0.7315,0.8889,2.0,0.9804,1.9997,2,2,2.86,0,0,0,91.0,25,0.0,0.9999,15.94,1.028,0.4172,18.0,31.0,76.0,201,88.4,1.79,-1,0.321,sad/depressed
opus-4.8-thinking,free-form,abc,Becoming,D,minor,1.037,D,minor,minor,1,0.9375,2.6687,4.1376,,0.7733,0.9427,1.185,0.9427,1.9154,2,2,2.86,0,0,0,89.5,25,0.0,0.9997,16.21,1.0125,0.6729,26.0,43.0,82.0,144,61.5,1.71,-1,0.346,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Reckoning,D,minor,1.514,D,minor,minor,1,0.994,2.6273,4.0113,,0.7248,0.8778,1.871,0.9719,1.9757,2,1,1.83,0,0,0,94.3,25,0.0,0.9995,18.096,1.1481,0.9562,21.0,43.0,84.0,168,91.4,1.31,-1,0.317,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Light Through Rain,D,minor,1.354,D,minor,minor,1,0.9531,2.7087,4.019,,0.7258,0.9057,2.343,0.9738,1.8817,2,1,1.04,0,0,0,90.7,25,0.0,0.9999,10.925,1.0,0.3307,23.0,36.0,76.0,256,113.7,1.78,-1,0.32,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Light Through Branches,C,major,0.978,A,minor,minor,0,1.0,2.684,4.4085,,0.7129,0.8945,2.407,0.9439,2.0424,2,1,1.04,0,0,0,91.1,25,0.0,0.9997,20.327,0.9655,0.404,28.0,48.0,80.0,199,84.0,1.78,-1,0.341,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Conversations,A,minor,1.281,A,minor,minor,1,1.0,2.5846,4.0826,,0.7619,0.8972,1.556,0.9669,1.9641,2,1,1.04,0,0,0,90.7,25,0.0,0.9998,21.05,1.0286,0.3506,23.0,41.0,72.0,201,93.3,1.79,-1,0.299,sad/depressed
opus-4.8-thinking,free-form,abc,Becoming,A,minor,1.123,A,minor,minor,1,1.0,2.625,3.9519,,0.7273,0.8578,2.194,0.9644,1.9528,2,2,2.86,0,0,0,92.1,25,0.0,0.9995,22.851,1.1071,0.7326,20.0,43.0,88.0,203,87.3,1.59,-1,0.366,sad/depressed
opus-4.8-thinking,free-form,abc,Reaching Through Static,A,minor,1.125,A,minor,minor,1,0.9827,2.6677,3.6903,,0.6372,0.7994,1.429,0.9616,2.9984,3,2,2.86,0,0,0,93.5,25,0.0276,0.9991,10.896,1.25,0.9292,19.0,41.0,84.0,289,102.9,2.01,-1,0.386,sad/depressed
opus-4.8-thinking,free-form,abc,"Quiet Machine, Dreaming",D,minor,1.496,D,minor,minor,1,0.9469,2.9128,4.4646,,0.9048,0.9255,1.774,0.9738,1.9764,2,1,1.04,0,0,0,90.3,25,0.0,0.9998,15.574,0.9688,0.3705,25.0,41.0,70.0,245,109.7,1.91,-1,0.3,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Tide,D,minor,1.448,D,minor,minor,1,0.9884,2.7014,4.268,,0.7889,0.8798,1.826,0.977,1.9685,2,2,2.86,0,0,0,90.7,25,0.0,0.9999,17.593,1.011,0.3684,24.0,37.0,80.0,173,72.0,1.8,-1,0.344,sad/depressed
opus-4.8-thinking,free-form,abc,Patterns in the Quiet,D,minor,1.322,D,minor,minor,1,0.9145,2.9221,4.2296,,0.681,0.9205,1.968,0.9687,2.8274,3,2,2.86,0,0,0,96.1,25,0.0,0.9993,14.309,1.1376,1.1112,26.0,43.0,84.0,234,91.4,1.83,-1,0.368,sad/depressed
opus-4.8-thinking,free-form,abc,Reaching Through the Dark,D,minor,1.397,D,minor,minor,1,0.895,2.9113,4.533,,0.8889,0.9836,2.522,0.9907,1.9687,2,1,1.04,0,0,0,90.1,25,0.0,0.9999,21.678,1.0,0.099,28.0,44.0,72.0,181,80.0,1.89,-1,0.309,sad/depressed
opus-4.8-thinking,free-form,abc,Threads of Light,A,minor,1.334,A,minor,minor,1,0.9703,2.8343,4.5644,,0.63,0.94,1.917,0.9814,2.9978,3,2,2.86,0,0,0,92.2,25,0.0,0.9999,18.043,1.0,0.8549,28.0,45.0,84.0,236,71.4,2.36,-1,0.421,sad/depressed
opus-4.8-thinking,free-form,abc,Quiet Emergence,A,minor,1.292,A,minor,minor,1,1.0,2.7166,4.3654,,0.7629,0.89,1.852,0.947,1.9462,2,1,1.04,0,0,0,91.5,25,0.0,0.9999,15.957,1.0588,0.5149,25.0,43.0,80.0,185,84.0,1.65,-1,0.329,sad/depressed
opus-4.8-thinking,free-form,abc,Through the Open Window,D,minor,1.387,D,minor,minor,1,0.9477,2.8103,4.3002,,0.6154,0.8919,2.522,0.9567,1.9678,2,1,1.04,0,0,0,90.7,25,0.0,0.9999,15.93,1.0108,0.3677,26.0,39.0,66.0,172,87.3,1.79,-1,0.266,sad/depressed
opus-4.8-thinking,free-form,abc,Reaching Toward Light,D,minor,1.478,D,minor,minor,1,0.9178,2.9241,4.1375,,0.7798,0.9288,2.556,0.9791,2.8385,3,2,2.86,0,0,0,95.1,25,0.0,0.9999,10.523,1.0,0.9767,20.0,33.0,84.0,219,80.0,1.96,-1,0.381,sad/depressed
opus-4.8-thinking,free-form,abc,Patterns Emerging,D,minor,1.252,D,minor,minor,1,1.0,2.5853,3.7306,,0.7579,0.8984,1.44,0.9715,2.6722,3,2,2.86,0,0,0,96.1,25,0.0,0.9994,13.348,1.1364,1.0466,19.0,38.0,96.0,185,65.0,1.78,-1,0.429,sad/depressed
opus-4.8-thinking,free-form,abc,Letters to a Distant Light,A,minor,1.018,A,minor,minor,1,1.0,2.6833,4.3548,,0.7326,0.8757,2.261,0.975,1.9477,2,1,1.04,0,0,0,90.9,25,0.0,0.9997,21.325,1.0455,0.3271,25.0,43.0,80.0,167,72.0,1.74,-1,0.338,sad/depressed
opus-4.8-thinking,free-form,abc,Threads of a Quiet Hour,D,minor,1.292,D,minor,minor,1,1.0,2.5568,4.1038,,0.75,0.8491,2.111,0.9827,1.964,2,2,2.86,0,0,0,91.2,25,0.0,0.9997,14.536,1.068,0.4107,19.0,36.0,76.0,195,88.4,1.74,-1,0.316,sad/depressed
sonnet-4.6,free-form,abc,Departure in Grey,D,minor,1.281,D,minor,minor,1,1.0,2.6933,4.2017,,0.8068,0.9094,1.493,0.9878,2.8877,2,1,1.04,0,0,0,98.1,25,0.0,0.9945,19.614,0.6485,1.1201,24.0,44.0,108.0,298,113.3,1.46,-1,0.462,sad/depressed
sonnet-4.6,free-form,abc,Vesper,D,minor,1.21,D,minor,minor,1,0.9755,2.8425,4.0525,,0.2364,0.7537,1.619,0.9786,3.4531,4,1,1.83,0,0,0,92.0,25,0.015,0.999,10.012,2.1379,1.7207,21.0,33.0,52.0,163,152.3,1.23,-1,0.134,sad/depressed
sonnet-4.6,free-form,abc,Emergence in Dorian,D,minor,1.25,D,minor,minor,1,1.0,2.7839,3.9799,,0.4732,0.8085,1.725,0.9906,2.1197,3,1,1.04,0,0,0,90.5,25,0.0355,0.9977,10.661,1.06,1.5982,22.0,36.0,88.0,275,114.5,1.64,-1,0.371,sad/depressed
sonnet-4.6,free-form,abc,Turning Over Stones,D,minor,1.376,D,minor,minor,1,0.9476,2.8839,3.9923,,0.6243,0.8817,1.532,0.9795,1.933,2,1,1.04,0,0,0,90.3,25,0.0,0.9985,14.254,0.7727,1.1994,24.0,33.0,88.0,259,102.3,1.73,-1,0.38,sad/depressed
sonnet-4.6,free-form,abc,Reflections in a Suspended Present,D,minor,1.195,D,minor,minor,1,0.9611,2.9156,4.1618,,0.912,0.7842,1.651,0.991,2.8905,3,1,1.83,0,0,0,92.5,25,0.0,0.9983,11.705,1.55,1.2214,25.0,34.0,72.0,372,160.0,1.94,-1,0.314,sad/depressed
sonnet-4.6,free-form,abc,Confluence,D,minor,1.227,D,minor,minor,1,0.9508,2.8539,3.9652,,0.6324,0.797,1.214,0.9903,2.8238,3,1,1.83,0,0,0,92.5,25,0.0,0.998,9.389,1.2263,1.0699,21.0,32.0,180.0,326,58.0,1.87,-1,0.787,angry/tense
sonnet-4.6,free-form,abc,Invention in the Shape of a Question,D,minor,1.582,D,minor,minor,1,0.9331,2.9006,4.1967,,0.3806,0.7493,1.652,0.9853,2.6731,3,1,1.83,0,0,0,89.7,25,0.0,0.9999,17.306,1.0,0.5937,26.0,39.0,92.0,344,92.0,2.44,-1,0.473,sad/depressed
sonnet-4.6,free-form,abc,Crystallization,D,minor,1.213,D,minor,minor,1,1.0,2.7777,4.234,,0.4935,0.734,1.636,0.9967,3.7734,4,1,1.83,0,0,0,93.1,25,0.055,0.9981,10.758,1.2692,1.549,23.0,38.0,72.0,249,90.0,2.31,-1,0.351,sad/depressed
sonnet-4.6,free-form,abc,Emerging,D,minor,1.43,D,minor,minor,1,1.0,2.6341,3.8235,,0.4764,0.8177,1.034,0.9858,2.7572,3,2,2.86,0,0,0,92.3,25,0.0328,0.9981,12.085,0.9202,2.01,20.0,40.0,72.0,353,152.5,1.93,-1,0.313,sad/depressed
sonnet-4.6,free-form,abc,Searching in Dorian,D,minor,1.539,D,minor,minor,1,1.0,2.7113,3.8393,,0.5605,0.8404,1.559,0.9844,2.7561,3,1,1.04,0,0,0,88.6,25,0.0,0.9974,7.797,0.7267,1.2318,19.0,31.0,72.0,503,150.0,2.79,-1,0.399,sad/depressed
sonnet-4.6,free-form,abc,Recognition,D,minor,1.308,D,minor,minor,1,1.0,2.7055,4.0961,,0.5238,0.8838,2.0,0.9852,3.6273,2,1,1.04,0,0,0,89.1,25,0.0,0.9995,12.624,0.3561,0.7868,27.0,48.0,76.0,352,175.3,1.59,-1,0.3,sad/depressed
sonnet-4.6,free-form,abc,Fantasia in D Minor,D,minor,1.414,D,minor,minor,1,0.9678,2.9234,4.3788,,0.9255,0.7493,2.169,0.9755,1.9858,2,1,1.83,0,0,0,89.6,25,0.0,0.999,14.285,1.1211,0.8325,26.0,38.0,72.0,373,180.0,1.73,-1,0.293,sad/depressed
sonnet-4.6,free-form,abc,Lignes de Lumière,C#,major,1.18,D-,major,major,1,1.0,2.7784,3.9257,,0.0,0.8217,2.349,0.993,3.9855,2,1,1.04,0,0,0,98.0,25,0.0,0.9951,10.172,0.6633,1.1995,18.0,29.0,156.0,211,73.8,1.1,1,0.688,happy/excited
sonnet-4.6,free-form,abc,Invention in D Minor,D,minor,1.501,D,minor,minor,1,0.9447,2.89,3.4391,,0.5248,0.7212,1.63,0.9231,1.9551,2,1,1.04,0,0,0,91.0,25,0.0,0.9991,5.03,1.0189,0.8563,15.0,20.0,88.0,199,76.4,1.78,-1,0.385,sad/depressed
sonnet-4.6,free-form,abc,Woven Light,D,minor,1.139,D,minor,minor,1,1.0,2.7521,4.0242,,0.8042,0.7847,1.583,0.987,1.9927,2,1,1.04,0,0,0,89.5,25,0.0,0.9989,12.595,0.986,1.1217,19.0,32.0,156.0,255,56.5,1.73,-1,0.752,angry/tense
sonnet-4.6,free-form,abc,What the Light Remembers,D,minor,1.463,D,minor,minor,1,0.9434,2.9846,4.5381,,0.6807,0.8431,2.238,0.973,1.8694,2,1,1.04,0,0,0,88.7,25,0.0,0.9999,20.694,1.0026,0.498,36.0,55.0,58.0,318,198.6,1.66,-1,0.209,sad/depressed
sonnet-4.6,free-form,abc,Liminal,D,minor,1.398,D,minor,minor,1,1.0,2.7215,3.83,,0.7468,0.7219,1.791,0.9789,1.6553,2,1,1.04,0,0,0,91.8,25,0.0,0.9995,5.598,1.1703,0.6487,20.0,36.0,72.0,389,226.7,1.43,-1,0.263,sad/depressed
sonnet-4.6,free-form,abc,Convergence,D,minor,1.239,D,minor,minor,1,1.0,2.7525,3.9458,,0.6736,0.8221,1.636,0.9976,2.9984,3,1,1.04,0,0,0,89.4,25,0.0,0.9984,12.803,0.8594,1.3258,19.0,34.0,108.0,447,93.3,2.66,-1,0.582,angry/tense
sonnet-4.6,free-form,abc,Invention in D minor,D,minor,1.304,D,minor,minor,1,0.9918,2.8488,3.7787,,0.6356,0.5967,2.171,0.9658,1.9441,2,1,1.83,0,0,0,91.3,25,0.0,0.9995,7.506,1.129,0.3218,20.0,29.0,72.0,244,120.0,1.69,-1,0.289,sad/depressed
sonnet-4.6,free-form,abc,Fleeting,C,major,1.08,C,major,major,1,1.0,2.6723,3.9214,,0.7462,0.9024,2.571,0.9894,1.7805,2,1,1.04,0,0,0,89.5,25,0.0,1.0,10.533,1.0,0.7618,20.0,36.0,60.0,247,171.0,1.44,1,0.199,serene/content
sonnet-4.6,free-form,abc,Liminal,D,minor,1.379,D,minor,minor,1,0.967,2.9002,4.3076,,0.7186,0.8747,1.808,0.9664,1.9267,2,1,1.04,0,0,0,87.4,25,0.0,0.9974,13.199,0.7536,1.386,26.0,36.0,156.0,333,61.2,2.09,-1,0.788,angry/tense
sonnet-4.6,free-form,abc,Invention in the Space Between Thoughts,D,minor,1.196,D,minor,minor,1,1.0,2.7852,3.5809,,0.5033,0.6121,2.0,0.9355,1.8339,2,1,1.04,0,0,0,86.3,25,0.0,0.9984,4.144,0.5345,1.3157,14.0,22.0,92.0,297,65.2,2.97,-1,0.526,angry/tense
sonnet-4.6,free-form,abc,Searching,D,minor,1.263,D,minor,minor,1,0.9777,2.9288,4.1858,,0.1611,0.6147,1.66,0.99,3.4857,4,3,11.02,0,0,0,88.8,25,0.0182,0.9974,7.767,0.8736,1.5741,31.0,39.0,72.0,551,137.5,3.34,-1,0.454,sad/depressed
