model,prompt,mode,sample,batch,title,key_tonic,key_mode,key_confidence,key_declared_tonic,key_declared_mode,key_mode_best,mode_match,scale_consistency,pitch_class_entropy,pitch_entropy,pitch_in_scale_rate,consonance_rate,chord_tone_rate,chord_tonal_distance,structureness,polyphony,n_voices,n_instruments,instrument_rarity,n_dynamic_marks,dynamic_span,dynamic_changes,velocity_mean,dynamics_range,empty_beat_rate,groove_consistency,pitch_interval,ioi,rhythm_entropy,n_pitches_used,pitch_range,tempo_bpm,tempo_defaulted,n_notes,length_seconds,note_density,valence,arousal,affect_quadrant,features_version
sonnet-4.6,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Nocturne for the Shifting Light,G,minor,1.231,,,minor,,0.9478,2.9258,4.2172,0.9478,0.5288,0.8407,2.484,0.9226,3.2292,2,2,4.69,0,0,0,90.0,0,0.0,1.0,10.071,0.9223,1.1021,26.0,38.0,52.0,0,204,110.8,2.12,-1,0.223,sad/depressed,3
gpt-5.5,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Interior Resonance,D,minor,1.404,,,minor,,0.8958,3.0715,4.7641,0.8958,0.2739,0.7538,2.103,0.9912,4.2531,4,4,10.8,24,3,23,77.1,36,0.0,1.0,12.084,0.5048,1.5725,42.0,54.0,72.0,0,781,133.3,4.88,-1,0.52,angry/tense,3
fable-5,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Echo Chamber,A,minor,1.232,,,minor,,1.0,2.6548,4.3256,0.9794,0.5649,0.9356,1.553,0.9922,3.7949,4,3,6.86,24,4,20,79.7,81,0.0186,1.0,11.068,0.539,1.5405,27.0,47.0,66.0,0,464,145.5,2.9,-1,0.377,sad/depressed,3
llama-4-maverick,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Echoes in the Mind,F,major,0.668,,,major,,1.0,0.2319,0.2319,1.0,,1.0,0.0,0.9885,1.0,1,1,1.04,0,0,0,90.0,0,0.0,1.0,0.127,1.0,0.0,3.0,4.0,,1,64,32.0,1.0,1,0.482,serene/content,3
deepseek-v4-pro,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Sospesi,A,minor,1.232,,,minor,,1.0,2.7449,3.5927,0.9277,0.25,0.8652,2.467,0.8633,2.875,2,2,4.69,0,0,0,67.5,20,0.0,1.0,5.354,2.1429,0.6002,17.0,29.0,,1,83,32.0,1.3,-1,0.512,angry/tense,3
opus-4.8,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Quiet Questions,A,minor,1.302,,,minor,,1.0,2.6421,4.0997,1.0,0.6098,0.8226,2.182,0.8974,3.0833,2,2,4.69,0,0,0,58.2,28,0.0,1.0,16.581,1.1,1.1317,22.0,46.0,66.0,0,63,43.6,1.31,-1,0.219,sad/depressed,3
qwen3-max,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Fractal Whispers,E-,major,0.65,,,major,,0.9291,2.6968,3.1234,0.8898,0.5455,0.6475,0.0,0.8989,1.25,2,2,3.73,0,0,0,90.0,0,0.0,0.9999,8.603,0.6762,1.1401,16.0,31.0,,1,127,36.0,1.76,1,0.558,happy/excited,3
opus-4.8-thinking,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,"Questions, and a Quiet Answer",A,minor,1.085,,,minor,,0.9933,2.7099,4.5127,0.9933,0.3125,0.7566,2.118,0.941,4.3889,3,2,4.69,12,3,10,92.6,63,0.0,1.0,11.527,1.4167,1.309,29.0,46.0,68.0,0,95,63.5,1.32,-1,0.23,sad/depressed,3
fable-5,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Emergence in D,D,minor,0.981,,,minor,,0.9677,2.8878,4.3774,0.9677,0.7548,0.9415,2.074,0.9715,3.4107,4,3,6.86,13,3,11,79.8,54,0.0,1.0,9.777,0.7013,1.5614,29.0,43.0,66.0,0,252,101.8,2.25,-1,0.312,sad/depressed,3
grok-4.3,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Echoes of Computation,C,major,0.762,,,major,,1.0,1.9808,2.2313,1.0,0.0,0.8182,0.0,1.0,1.375,1,1,1.04,0,0,0,90.0,0,0.0,1.0,4.143,1.0,0.0,5.0,12.0,60.0,0,128,128.0,1.0,1,0.155,serene/content,3
gpt-5.5,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Between Query and Echo,C#,minor,1.138,,,minor,,1.0,2.7672,4.994,1.0,0.25,0.6899,1.63,0.9528,4.7188,4,4,10.8,4,1,2,58.9,29,0.0,1.0,16.874,0.7448,1.3338,36.0,60.0,,1,396,56.0,3.54,-1,0.735,angry/tense,3
deepseek-v4-pro,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Vesper Glow,C#,major,1.14,,,major,,0.9709,2.8972,3.946,0.9709,0.087,0.6545,1.5,0.8834,4.77,2,1,1.04,6,3,4,69.5,18,0.0,1.0,5.078,1.15,1.4875,18.0,26.0,66.0,0,68,46.4,1.33,1,0.221,serene/content,3
sonnet-4.6,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Dusk Alone,E,minor,1.093,,,minor,,0.9565,2.8565,4.1223,0.9565,1.0,0.887,1.448,0.911,1.7207,1,1,1.04,0,0,0,90.0,0,0.0331,1.0,6.333,1.3735,1.2518,27.0,40.0,58.0,0,84,124.1,0.7,-1,0.114,sad/depressed,3
opus-4.8,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Quiet Returns,F,minor,1.098,,,minor,,1.0,2.722,4.0804,0.9429,0.5833,0.8837,2.545,0.9339,2.3958,3,2,4.69,3,2,2,86.4,36,0.0,1.0,17.884,1.2941,1.3606,21.0,43.0,66.0,0,70,43.6,1.46,-1,0.233,sad/depressed,3
llama-4-maverick,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Simple Reflection,C,major,1.088,,,major,,1.0,1.5843,2.0829,1.0,,0.9844,0.444,0.9781,1.0,1,1,1.04,0,0,0,90.0,0,0.0,0.9999,5.795,0.2913,0.0983,5.0,12.0,120.0,0,128,19.0,3.37,1,0.719,happy/excited,3
qwen3-max,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Contemplation to Clarity,G,major,1.294,,,major,,0.9429,2.8675,3.7259,0.9429,0.8571,0.7143,2.6,0.7259,2.2273,1,1,1.04,3,3,2,58.7,51,0.0417,0.9999,4.265,1.0,0.9814,15.0,24.0,66.0,0,20,21.8,0.83,1,0.171,serene/content,3
kimi-k3,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Iterations,D,minor,0.922,,,minor,,0.9513,2.8868,3.99,0.9513,0.361,0.7718,2.698,0.9826,3.6648,5,5,14.22,21,4,20,92.0,63,0.0,1.0,5.854,0.6825,1.6285,27.0,41.0,66.0,0,385,160.0,2.19,-1,0.306,sad/depressed,3
opus-4.8-thinking,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Quiet Searching,A,minor,1.07,,,minor,,1.0,2.7278,4.3031,1.0,0.5,0.9171,1.667,0.9256,3.8654,2,1,1.04,2,1,1,60.5,43,0.0,0.9999,9.383,1.1163,1.3635,23.0,39.0,72.0,0,56,43.3,1.08,-1,0.228,sad/depressed,3
gpt-4.1,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Echoes of Evening,E-,minor,1.036,,,minor,,0.8571,2.9227,3.6245,0.7857,0.5833,0.6797,1.733,1.0,1.5,2,2,3.2,0,0,0,66.4,55,0.0,1.0,9.829,0.7975,0.6878,15.0,25.0,66.0,0,112,58.2,1.75,-1,0.262,sad/depressed,3
fable-5,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Answer in Kind,A,minor,1.212,,,minor,,0.9437,2.9652,4.1623,0.9437,0.7425,0.9301,1.926,0.9635,2.7366,3,3,7.94,9,3,8,73.0,18,0.0,1.0,8.049,0.551,1.2756,28.0,46.0,76.0,0,272,88.4,2.43,-1,0.385,sad/depressed,3
sonnet-4.6,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Emergence,D,minor,1.366,,,minor,,0.9764,2.8303,4.0778,0.9764,0.3101,0.673,1.0,0.9573,2.731,4,3,11.02,0,0,0,90.0,0,0.0,1.0,8.027,0.6037,1.4504,23.0,41.0,,1,328,42.8,3.84,-1,0.765,angry/tense,3
sonnet-4.6-thinking,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Threshold,D,minor,0.95,,,minor,,1.0,2.769,3.9612,0.8865,0.4167,0.7707,1.871,0.9885,2.7578,4,3,11.02,18,4,16,84.0,54,0.0,1.0,9.326,1.7222,1.0128,20.0,34.0,63.0,0,185,121.9,1.45,-1,0.215,sad/depressed,3
grok-4.3,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Ascent of Insight,C,major,1.012,,,major,,1.0,2.7396,3.2402,1.0,,1.0,2.6,1.0,1.0,1,1,1.04,0,0,0,90.0,0,0.0,0.9999,5.627,1.0678,1.2863,10.0,16.0,72.0,0,60,53.3,0.94,1,0.214,serene/content,3
qwen3-max,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Whispers in A Minor,A,minor,1.413,,,minor,,1.0,2.6334,3.4419,1.0,0.5667,0.8065,2.421,1.0,1.9375,2,2,4.29,0,0,0,90.0,0,0.0,1.0,8.05,0.5,0.9458,13.0,26.0,72.0,0,220,66.7,2.75,-1,0.395,sad/depressed,3
gpt-5.5,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Where the Signal Learns to Breathe,A,minor,0.957,,,minor,,1.0,2.77,4.4319,1.0,0.6265,0.8995,2.194,0.9749,3.4297,4,4,10.11,12,4,10,54.8,32,0.0,1.0,11.94,0.5,1.2175,28.0,46.0,72.0,0,527,106.7,4.12,-1,0.52,angry/tense,3
opus-4.8,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Quiet Persistence,E,minor,0.937,,,minor,,1.0,2.7563,4.5591,1.0,0.7381,0.9119,2.526,0.9662,2.6875,3,2,4.69,3,2,2,66.0,36,0.0,1.0,14.65,0.9518,1.1224,28.0,48.0,68.0,0,144,70.6,1.8,-1,0.278,sad/depressed,3
opus-4.8-thinking,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Threads of Thought,F,major,0.867,,,major,,1.0,2.6923,4.3234,0.9244,0.5535,0.8269,2.138,0.9696,2.4875,3,2,4.69,3,1,2,71.8,18,0.0,1.0,13.565,0.7081,1.735,24.0,48.0,68.0,0,237,105.9,1.98,1,0.296,serene/content,3
fable-5,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,A Quiet Convergence,A,minor,0.904,,,minor,,0.9448,2.9547,4.4648,0.8864,0.7128,0.9402,2.593,0.964,2.6518,3,2,4.69,12,3,11,65.1,36,0.0,1.0,12.202,0.5,1.1701,34.0,48.0,66.0,0,305,101.8,2.72,-1,0.36,sad/depressed,3
sonnet-4.6-thinking,free-form,codegen-sparse,0,20260720_025945__models_13_prompts_1,Emergence,D,minor,1.349,,,minor,,0.9927,2.6806,4.2342,0.9927,0.4607,0.8066,1.286,0.9868,3.6796,4,3,11.02,0,0,0,90.0,0,0.0183,1.0,13.839,1.1798,0.7234,25.0,41.0,72.0,0,275,90.0,2.55,-1,0.375,sad/depressed,3
gpt-5.5,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Between Queries and Dawn,D,minor,1.077,,,minor,,0.9722,2.8596,5.055,0.9722,0.7035,0.9944,2.213,0.9954,3.9479,4,4,10.8,13,4,10,83.3,55,0.0,1.0,16.952,0.5162,1.4261,40.0,63.0,72.0,0,882,160.0,4.59,-1,0.52,angry/tense,3
deepseek-v4-pro,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Emergent Whispers,C,major,1.251,,,major,,1.0,2.6978,3.7328,1.0,,0.8933,2.857,0.8809,1.0,1,1,1.04,0,0,0,90.0,0,0.0,0.9999,14.243,1.6081,0.6521,18.0,43.0,60.0,0,75,120.0,0.62,1,0.117,serene/content,3
grok-4.3,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Echoes of Curiosity,C,major,0.943,,,major,,1.0,2.7411,3.2073,1.0,,0.55,0.774,1.0,1.0,1,1,1.04,0,0,0,86.0,10,0.0,1.0,3.565,0.5335,0.1503,11.0,17.0,,1,240,64.0,1.88,1,0.569,happy/excited,3
llama-4-maverick,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Alternating C and G,C,major,0.641,,,major,,1.0,1.0,1.0,1.0,,1.0,0.0,1.0,1.0,1,1,1.04,0,0,0,90.0,0,0.0,1.0,7.0,1.0,0.0,2.0,7.0,,1,16,8.0,1.0,1,0.482,serene/content,3
qwen3-max,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Silent Algorithm,A,minor,0.596,,,minor,,0.8704,3.0487,3.3514,0.7778,,0.4737,1.714,0.9907,1.2069,2,1,1.04,0,0,0,70.4,15,0.0833,0.9998,4.943,0.68,1.4024,12.0,23.0,60.0,0,57,35.0,1.63,-1,0.217,sad/depressed,3
deepseek-v4-pro,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Nocturne of Digital Stillness,C,major,1.171,,,major,,1.0,2.6613,4.0882,1.0,0.9919,1.0,2.0,1.0,1.4902,2,1,1.04,5,3,4,81.9,36,0.0,1.0,6.524,0.878,0.6337,21.0,40.0,60.0,0,320,256.0,1.25,1,0.18,serene/content,3
kimi-k3,free-form,codegen-sparse,1,20260720_025945__models_13_prompts_1,Lanterns on the Water,D,minor,1.034,,,minor,,0.9489,2.8735,3.9126,0.9489,0.799,0.936,2.444,0.9699,3.1384,3,3,7.94,12,3,11,71.0,47,0.0,1.0,8.205,0.5455,1.4062,26.0,41.0,72.0,0,305,93.3,2.72,-1,0.392,sad/depressed,3
sonnet-4.6,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Motif and Its Shadows,C,major,1.387,,,major,,0.9667,2.7852,4.7011,0.9667,0.4964,0.7588,1.161,0.9517,3.2891,4,3,11.02,0,0,0,90.0,0,0.0,1.0,15.71,0.8732,0.9759,37.0,54.0,,1,360,64.0,2.81,1,0.663,happy/excited,3
sonnet-4.6-thinking,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Threshold,A,minor,0.794,,,minor,,0.9791,2.7678,4.3557,0.9791,0.597,0.8716,1.652,0.9104,3.75,1,1,1.04,0,0,0,90.0,0,0.0,1.0,13.884,1.3939,0.834,29.0,51.0,66.0,0,112,87.3,1.17,-1,0.204,sad/depressed,3
sonnet-4.6-thinking,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,Lumière Grise,D,minor,1.151,,,minor,,1.0,2.617,4.1367,0.9639,0.5972,0.8149,1.391,0.9601,3.8333,2,1,1.04,0,0,0,90.0,0,0.0,1.0,11.088,1.2958,0.9947,23.0,41.0,60.0,0,108,96.0,1.12,-1,0.167,sad/depressed,3
sonnet-4.6-thinking,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,Dusk Reverie,D,minor,1.484,,,minor,,0.9533,2.8906,4.0293,0.9533,0.6279,0.8303,2.706,0.9142,3.7778,2,1,1.04,0,0,0,90.0,0,0.0,1.0,6.358,1.7,1.1637,22.0,34.0,60.0,0,63,72.0,0.88,-1,0.142,sad/depressed,3
deepseek-v4-pro,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Tranquil Waters,C,major,0.935,,,major,,1.0,2.7653,3.8441,1.0,0.0,0.7241,2.526,0.9412,5.125,2,1,1.04,0,0,0,90.0,0,0.0,1.0,5.793,2.303,0.7612,17.0,27.0,50.0,0,54,96.0,0.68,1,0.068,serene/content,3
kimi-k3,free-form,codegen-sparse,4,20260720_025945__models_13_prompts_1,What Stays (Passacaglia in D Minor),D,minor,1.521,,,minor,,0.9135,3.0175,4.8604,0.9135,0.7018,0.9259,2.667,0.9864,2.875,5,4,13.19,30,6,29,80.4,89,0.0,1.0,12.275,0.8,1.5919,37.0,57.0,76.0,0,532,164.2,2.56,-1,0.398,sad/depressed,3
kimi-k3,free-form,codegen-sparse,2,20260720_025945__models_13_prompts_1,Slow Dawn,D,minor,1.256,,,minor,,0.9811,2.8238,4.446,0.9811,0.4015,0.809,2.2,0.9706,3.3299,4,3,7.94,17,4,16,92.7,63,0.0,1.0,13.793,0.5224,1.4036,33.0,52.0,72.0,0,472,120.0,3.28,-1,0.448,sad/depressed,3
kimi-k3,free-form,codegen-sparse,3,20260720_025945__models_13_prompts_1,First Light Through Leaves,G,minor,1.007,,,minor,,0.9966,2.7358,4.2093,0.9414,0.7362,0.945,1.742,0.9753,2.6875,3,3,7.94,19,4,18,82.2,54,0.0,1.0,9.595,0.5,1.1863,25.0,43.0,52.0,0,287,110.8,2.99,-1,0.31,sad/depressed,3
